"date" "world" "asia" "euro" "scand" "us" "cumworld" "cumasia" "cumeuro" "cumscand" "cumus"
197501 0.163733191982602 0.0813956382039941 0.218653486041345 0.107508207715285 0.133131312603183 0.309474019375735 0.231060909513711 0.366226608861033 0.143814484870458 0.323811496539285
197502 0.125839384839148 0.126368298814807 0.12768936114089 0.077701507663852 0.0581745640510722 0.196338880156225 0.211512674635797 0.190632612280136 0.104805693579865 0.309618108007616
197503 -0.0104544579038589 0.017938145131013 -0.0274739770007551 -0.0269601815827831 0.0302381830606099 0.0640789275141543 0.0985540627309084 0.0440661953695569 0.025302563969385 0.258021859316667
197504 0.0451645519543737 0.00548493023056975 0.0701788346212465 0.0407579924721678 0.045642357878701 0.0568784501792925 0.0778119902671611 0.043140697848614 0.0669542942951578 0.254717677496138
197505 -0.00722604509173958 0.0061808590750811 -0.0146061523893621 -0.0244976316004002 0.0547722358469795 0.00941124916224328 0.0808902906970792 -0.0400220643309273 0.110169735599168 0.198317662964476
197506 -0.0408219945202552 0.00568381646829771 -0.0732160623312591 0.0264471700148482 0.0509782447646295 -0.0107339025421492 0.0785022298606943 -0.0729268946126169 0.0853720754746912 0.133697091062683
197507 -0.0454158635304826 -0.0537172825059879 -0.0398849336989149 -0.0491902441907718 -0.0630463017176353 0.0456661219414245 0.113096259890967 -0.00131211364833167 0.070458141273516 0.126544325838083
197508 -0.00170144663975757 -0.0415514271582351 0.0240094524603519 -0.0325231917055601 -0.0239853627505113 0.0819403275546237 0.167113497405953 0.0215283854413248 0.132762024609671 0.183572555230155
197509 -0.0457298517061743 -0.0449973659307358 -0.0473012731180131 -0.01999864650669 -0.0380134421982162 0.0846412745274647 0.240551113426509 -0.02258173872603 0.121960091576857 0.206156937065038
197510 0.0830535551352857 0.0923056707840261 0.078903597595466 0.0503128138735892 0.057041740367197 0.11281796698605 0.280837399627126 -0.00275444260877198 0.123591080725362 0.268862991853626
197511 0.0223484036637618 0.0157749191153622 0.0282958691548473 -0.0260360145508416 0.0301411569119868 -0.0364822339681621 0.137975005225947 -0.160376624915643 0.00124506395194166 0.191516498146064
197512 0.0206845911928326 0.0201947072855193 0.0209784063851918 0.0202927032677624 -0.0112631922787107 -0.0440405521592886 0.0930801875367331 -0.14035863379194 0.0665979408797336 0.168946606730396
197601 0.0505980527630914 0.0618474033260802 0.043059489460447 0.0684994164246923 0.118937924071514 0.0408953385115626 0.208552091672747 -0.0766283122501772 0.098423191874078 0.238950294031707
197602 -0.00642056780292269 0.0134096869099177 -0.0188770557696892 -0.00180162194662821 0.00657831536012251 -0.0167273291884933 0.121181731115581 -0.103420829246752 -0.0530231453715405 0.0824143395448742
