"y" "prf" "prfm" "" ""
0.0353671438372913 0.00427755581546325 0.0026223333300297 196809 -1.64212823066765
-0.000200020002667045 0.0184387151914166 0.00314209222697036 196810 -1.65199065561159
0.0488853977298107 0.0157702824121422 0.00308987172338228 196811 -1.62510374276676
-0.04468360762664 0.0229743917558966 0.00379441827732733 196812 -1.7080284177281
-0.0179603253769929 0.013075590905498 0.00305990273332783 196901 -1.53239596246288
-0.0650719967437148 0.00634125314931779 0.00274616798541259 196902 -1.4910610112516
0.0215657779145606 -0.00869101994677808 0.00174884203351366 196903 -1.4562350664912
0.00925702126267685 -0.00587529243852188 0.00203604400280419 196904 -1.41453718080267
-0.00581688532156485 -0.00469927933822076 0.00213920082080238 196905 -1.40033415316942
-0.0800177079860312 -0.00526149037101387 0.00202714326950143 196906 -1.40541025858323
-0.0782859183985442 -0.00968056770581414 0.00088763144650792 196907 -1.50576211259048
0.0409499863289542 -0.0114208606625316 -0.000196937729451697 196908 -1.64075248068385
-0.0366639843715915 -0.00424020948165314 0.000359101784851085 196909 -1.55734703382178
0.0436340370200613 -0.0086979545663854 -0.000134539363901483 196910 -1.58519104985877
-0.0440563861969199 -0.00301608272605105 0.000441362956940133 196911 -1.52032539632549
-0.0332465937936357 -0.00728334604223232 -0.000136529889213894 196912 -1.54703626177424
-0.0910193983871685 -0.00965777146819122 -0.000561017887988532 197001 -1.58306709911091
0.0441125746183209 -0.0165431710642647 -0.00170606067911739 197002 -1.72287464069172
-0.0164343064634248 -0.0123615555051935 -0.00113332773789941 197003 -1.59514829684322
-0.122167633974208 -0.0127694238177167 -0.00132222870981948 197004 -1.6134607304046
-0.0774211469685849 -0.0212285503592712 -0.00279595316426324 197005 -1.85399864633748
-0.0658193410372936 -0.0268031442641301 -0.00369505188479723 197006 -2.06564105350329
0.0621293714655488 -0.0314310488056892 -0.00443462675566028 197007 -2.26972551523092
0.0388360237851982 -0.0143172520816658 -0.0036515208942343 197008 -1.91185770912714
0.0357531697058178 -0.0112124372108201 -0.00315747967703159 197009 -1.82819484480796
-0.0277823810124516 -0.00891581457495698 -0.00271023083355056 197010 -1.77175236553804
0.0404699325537131 -0.00924996793924263 -0.00299514163103808 197011 -1.79588774553268
0.0516432331518384 -0.00725375959349962 -0.00250677001098469 197012 -1.74913029204731
0.0436340370200613 -0.00476610089991321 -0.00190510330917555 197101 -1.70768531436207
0.010742096531902 -0.00292672834934779 -0.00140467319566745 197102 -1.68772388556695
0.0375847603272712 -0.00231587999445101 -0.001272643089933 197103 -1.68457523005205
0.0282958691548473 -0.000403381885369094 -0.000854821547812523 197104 -1.67971558311792
-0.0436384570298295 0.000884287741709286 -0.000544707816933164 197105 -1.68317809238425
-0.00471107973011922 -0.00108698017978196 -0.000998326229700493 197106 -1.67511144288259
-0.0502412164367468 -0.00116293478957934 -0.00103700074532986 197107 -1.67518712063799
0.0326607822395483 0.000165605727533654 -0.00154426070091147 197108 -1.6797418456943
-0.0122750308756126 0.00143245963767767 -0.00119522965049862 197109 -1.69125773844234
-0.0490852076904914 0.00135507629538725 -0.00130714683459068 197110 -1.68582595930131
-0.00833463679005763 -3.30383120236335e-05 -0.00178492744314969 197111 -1.66657908131176
0.0801042442416614 -0.000257664275284323 -0.00184977605054481 197112 -1.66439509693537
0.0217614917815127 0.00224130171025397 -0.00104630526336632 197201 -1.6965358835328
0.0258626595257274 0.00288680089279245 -0.000824870340600506 197202 -1.70938911878642
0.00359353551013022 0.0034806257887206 -0.0005682594765012 197203 -1.72646767795168
0 0.00350503371655168 -0.000528623333771377 197204 -1.72799790764806
0.0094551587707552 0.00358029447993835 -0.000523636321188628 197205 -1.72695488720507
-0.0275767677702345 0.00356684948799412 -0.0004303765539742 197206 -1.73275948983374
-0.0111620647061919 0.00267503153456915 -0.000681732028198832 197207 -1.71360518241677
0.0292674976805681 -0.00653889330170603 -0.000777881869281337 197208 -1.70666868450804
-0.0149106127357542 -0.00477590195493379 -0.000504742055191797 197209 -1.67498502108889
0.00119928057548219 -0.00591348998130103 -0.000634524673935602 197210 -1.68441373382546
0.0414298097631396 -0.005564055870341 -0.000618151412780087 197211 -1.68030660388774
0.00249688019858715 -0.00328401230386038 -0.000246045561665753 197212 -1.64449441686936
-0.0380134421982162 -0.00320529913381284 -0.000221984809382833 197301 -1.64224710647498
-0.0540338884924856 -0.00466405224070828 -0.000550606177981384 197302 -1.663205315292
-0.0176549352387207 -0.00737399570989226 -0.0010116689565547 197303 -1.70440148052058
-0.0640053299759123 -0.00808690257755317 -0.00115391909571851 197304 -1.71981226549986
-0.0351091771135679 -0.0110349083070314 -0.00168655817097439 197305 -1.79812269470219
-0.0209172482553883 -0.0126382316113211 -0.0019674205150298 197306 -1.8471572632643
