"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30"
"49" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"50" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"51" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"52" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"53" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"54" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"55" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"56" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"57" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"58" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"59" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"60" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"61" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"62" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"63" -16.8239987532113 -9.15767335097613 -16.9856606557524 -12.7696079032408 -10.1097592764038 -12.8437269945478 -17.6605499661091 -11.1313624865466 -13.3600423694484 -10.3597644492411 -15.3187496520889 -8.87754225937964 -9.60250154570881 -13.6517314131958 -10.593972426958 -14.023757251215 -14.3322096541961 -12.9260032524735 -9.14680920340867 -12.6124854649682 -17.6211187199039 -10.3710813107974 -10.4364356929206 -11.3820878357575 -12.8850092033699 -8.7493356295999 -12.1075097888672 -16.3936504506811 -15.0206604143279 -12.6815848495346
"64" -16.0991297209518 -10.3873966086783 -17.813806228695 -13.3654516868584 -10.9586289099797 -12.9626051888103 -17.8364366771554 -12.6195622557602 -14.2687105241628 -12.2075610553612 -15.1588112964731 -8.91509213103394 -9.49284068259195 -14.0622699971257 -10.4781446244274 -13.5385547895671 -14.3335408442079 -12.7269397587806 -8.71120446026414 -12.9804951913382 -16.8665713026906 -10.450959358313 -9.87431292671075 -12.0437897518005 -13.3093715902237 -9.35669266862145 -11.8588688801223 -17.605394903666 -14.6529023485609 -12.5591724255285
"65" -16.0630953885909 -9.66702566084736 -17.8288486378166 -12.9049455058688 -10.9540861340474 -12.6280146796732 -17.8087143321839 -12.6392603353064 -14.3065946019013 -12.276695396329 -14.9596018968601 -8.62208650152199 -9.23396235668445 -13.8863257335916 -10.4319637635226 -13.6247031568255 -14.4186378423634 -12.8107310913928 -8.79178004432042 -12.7082702011091 -16.7929447372742 -10.2263022882983 -9.90459154457954 -12.127711901443 -13.2685733823321 -9.33472111618892 -11.6223718395216 -17.5570735961475 -14.5374097650809 -12.1683601938243
"66" -16.2183093871668 -9.83917571794215 -17.782005363011 -12.9774426097089 -11.1145014316042 -12.3639694014176 -17.9629917868637 -12.8555971188821 -14.2772370286719 -12.2262160154264 -15.1916938742356 -8.770698056829 -8.91703035205465 -14.1151994088109 -10.4536485104985 -13.6768608769212 -14.5354043739801 -12.7761530346943 -9.01141240993784 -12.9169991603281 -16.3218350203278 -10.04243978254 -9.96357578050582 -12.2177560932981 -13.4536203958879 -9.32574590813577 -11.3284063730055 -17.6981438967461 -14.7284868936875 -12.2472493409846
"67" -16.2282577069068 -9.89075636895889 -17.8208354070445 -12.3663631054929 -11.0625884366378 -12.2275810072215 -17.7921014467362 -12.8431655643653 -14.3360302066601 -12.2389268792977 -15.1367845543976 -8.734904579578 -8.95517973811934 -14.1303292361633 -10.4644767261484 -13.6842829575828 -14.5472354988637 -12.7299919198444 -8.92697843487238 -12.963392692027 -16.3699953020304 -10.0166304288126 -9.96443753220895 -12.2808961374562 -13.2485559449272 -9.3872279797049 -11.3250966860103 -17.4894722480366 -14.5234760638694 -12.3090344362093
"68" -15.1209270441653 -9.50329939510386 -17.8394354479586 -12.5608831416869 -11.2852086693517 -12.4268953066419 -17.790649142217 -12.8308136512648 -14.5426943397948 -12.6073234331078 -15.3096982326702 -8.86034481883697 -9.28058278267216 -13.1022708009821 -9.84598465431454 -13.9765685181564 -14.6315609102183 -12.8016480674696 -8.96068592663255 -12.8434619340583 -16.2487174847958 -10.1050990528205 -10.2532472580972 -12.3408814767832 -13.361658070147 -9.31844597831375 -11.2888257128875 -17.095180117251 -14.6450453661278 -12.0094123859136
"69" -15.1153163883236 -9.46967914818919 -17.7643026818365 -12.5279528424445 -11.2347302592073 -12.20612029589 -17.7942674844234 -12.5540721995058 -14.5517936586699 -12.4832528657134 -15.2730258088604 -8.85189887597884 -9.28944025949829 -13.1100698444813 -9.84163355803445 -13.9138541445593 -14.5234667682847 -12.7027460812152 -8.94570931388257 -12.852763407061 -16.2559791971251 -10.0476828013251 -10.2118059276145 -12.3316155441637 -13.3023338727442 -9.16433522648794 -11.2930088672885 -17.0839566484705 -14.6510487292781 -12.0181367916411
"70" -15.0687053099951 -9.371055372034 -17.7612082021294 -12.3202748991837 -11.250430604409 -11.8910712223793 -17.8095330293471 -12.5652008054254 -14.5674436213748 -12.4945668937655 -15.2884808341287 -8.86727015547122 -9.26535412417622 -13.112662607205 -9.71860377710547 -13.9152413061777 -14.5353909848081 -12.6941365595743 -8.94975098023356 -12.8516566400282 -16.008431409575 -10.0456618097946 -10.1832481551097 -12.3372579699506 -13.2193253418167 -9.08703283288503 -11.3055870525768 -16.9056690729289 -14.6623034596075 -11.8906343378862
"71" -15.062052482436 -9.35468972876126 -17.6067063220555 -12.2742832568472 -11.1175465092104 -11.8685401219167 -17.6563978511108 -12.5597220620754 -14.5668922165831 -12.4797296659272 -15.2272623185947 -8.86116985034062 -9.26459761713831 -13.1129933071119 -9.58800466751175 -13.8488191309569 -14.3864118207447 -12.3941984988683 -8.86725568791795 -12.8312948910816 -15.9609552904473 -10.0334011050162 -10.1565680369068 -12.1935470654736 -13.2046986620711 -9.08086692593442 -11.3022344674229 -16.8923023010858 -14.6616369254457 -11.8781890654639
"72" -15.0785046310359 -8.23135318401416 -17.6215969233062 -12.6135836938771 -10.9485913054412 -11.8845868764507 -18.1075869522767 -12.4556690111031 -14.9781450786133 -12.2191867993626 -15.657270866844 -9.0614543623688 -9.44124298864806 -12.9897358193163 -9.3127291356147 -13.9875565825124 -13.4183429849283 -12.2002846574999 -8.35013353412428 -13.3449802479771 -16.038669325825 -10.5129814148246 -10.4093368196561 -12.6556187304827 -13.8137544369558 -9.83083238427884 -11.4609207897711 -16.9024496587701 -14.902567291324 -12.3397707133591
"73" -14.8656338496755 -8.65087685338795 -17.2213801101021 -12.3640475952775 -10.8360151062462 -11.8982802446687 -18.2917827745368 -12.8692811468789 -14.9862968338278 -12.6137299294525 -15.2802832763467 -9.45811670453229 -9.84050306863931 -13.1911711955233 -9.43628993799905 -14.1331159248158 -13.585788580768 -12.5024688224055 -8.34398784218589 -13.7054632976212 -16.1387078058418 -10.1385156578723 -10.5916947442193 -12.8769638264413 -13.6397375653723 -9.36738360525813 -10.76667839768 -17.2183735994975 -14.9011989892298 -12.5757381521918
"74" -14.4741369254791 -8.59592477468385 -17.3253363523038 -12.1749939219884 -10.672632233155 -12.0527647530015 -18.3421152571005 -13.2336941807692 -15.3192712141154 -12.6357933709642 -15.1784080586357 -9.97747544857064 -10.1493947061212 -13.5391193559725 -9.07158644502475 -14.1196728180542 -14.0551621106096 -12.5856351666624 -8.75185269867598 -13.9312514442126 -16.5833746203744 -10.5068630590141 -10.7154192775418 -13.0406043909503 -13.6902858416586 -8.96046736153837 -11.1490576775694 -16.8386184156011 -15.3256602019436 -12.5713848686541
"75" -14.3684951782497 -8.56497928198596 -17.3159281779103 -12.1416677446736 -10.6114302425541 -12.0420969104666 -18.2351112703197 -13.2410509261912 -15.3270548890938 -12.4712232882632 -15.0934781190326 -9.97852140633473 -10.0580821293289 -13.5467785234316 -9.07898392781874 -14.1125020510509 -13.9442748499657 -12.5846408177896 -8.68397601388238 -13.9333896002952 -16.460408332275 -10.5127478538383 -10.72292784115 -12.8473443997423 -13.6833011874582 -8.89330060227782 -11.1505217267775 -16.8360523751951 -15.3016327486724 -12.5262127895315
"76" -14.2204629034243 -8.54540574171514 -17.329507843604 -12.1558038164206 -10.3079249566223 -11.5252589921395 -18.0328313283762 -13.2957071019928 -14.9015611026589 -12.5047354644304 -15.0720984935031 -9.75163697163564 -10.1127307871318 -13.5755627960138 -8.89961551023255 -14.1146802221551 -14.000817489048 -12.4895055534113 -8.60599236133812 -13.973496891658 -16.5177809852817 -10.4379439905252 -10.1793703243385 -12.8627857838907 -13.7390494508578 -8.85571974029316 -11.2042646864286 -16.8688171196657 -15.3588095585883 -12.4816098481258
"77" -14.1888218604426 -8.63423601334039 -17.4156361512791 -11.7729479769341 -10.1038205511644 -11.6715645133199 -18.1855741271935 -13.2677483244478 -14.9264047183992 -12.2315879413773 -15.1099200725861 -9.79705311866592 -10.0537446854886 -13.6732080737894 -8.02284588825259 -14.1724352641542 -13.5917529467995 -12.1013520685957 -8.3709755016421 -13.984945925904 -16.4549181354252 -10.418808071941 -10.3240660980632 -12.8801894954541 -13.4036308753788 -8.78073627668328 -11.3378617046779 -15.8621550493268 -14.9221665215868 -12.4690233401529
"78" -14.2079654610467 -8.58162896981025 -17.3588481505076 -11.7624839797548 -10.0908145815524 -11.6458844066502 -18.1229907846657 -13.2428454198087 -14.9421938665949 -12.2520705627912 -15.1034955007596 -9.6219698003382 -10.0343568247437 -13.6888980689372 -8.04201964762612 -13.9715135958226 -13.5113837612137 -12.0667530948317 -8.34302406552856 -13.9865088342598 -16.4384815313421 -10.3964412356368 -10.3109349086878 -12.8999846678912 -13.3965967380042 -8.73075999401269 -11.2915934860491 -15.6552466149031 -14.9036932294255 -12.2015064220785
"79" -14.3038188224689 -8.67287893747439 -17.5465580275505 -11.8264785666931 -10.2739303089747 -11.7506844779503 -18.0818086644194 -13.273327739218 -14.9075940097573 -12.2549910437281 -15.0968081098146 -9.71470328176793 -9.77683779991425 -13.7414571898929 -8.06443093767011 -13.5540647316462 -11.8137761552004 -12.1946686335704 -8.36621239894722 -13.7959854541279 -16.4662818723816 -10.4478257671515 -10.3893214098041 -13.0823274628174 -13.5607394233175 -8.81188178076178 -11.3219383001132 -15.5735274203569 -15.1012710520382 -11.5252142301863
"80" -14.4056808594907 -8.62741961493596 -17.3427491816684 -11.8962955738894 -10.10440884832 -11.8592873929389 -18.2021971412871 -13.1012377779587 -15.0253304342874 -12.1946750066581 -15.2144781600076 -9.73988035454814 -9.20868500837566 -13.7866523854724 -8.02871423752658 -13.6140895777971 -11.3469928888694 -12.2964586897848 -8.28550598137192 -13.8315501830383 -15.9674039019753 -10.4581603210982 -10.4691028763668 -13.039014900491 -13.6489713325652 -8.17192118952963 -11.0226191539053 -15.0832501768156 -15.0553739273123 -11.4827058912022
"81" -14.1078728688141 -8.59072019049887 -17.4779595679144 -12.3969299662166 -10.0732007045372 -12.3507335284254 -18.6456442303544 -13.0686772397634 -15.623014080246 -12.853287852694 -14.0958866270015 -9.86960506125936 -9.97675731616381 -13.7272935959082 -8.27877668190591 -13.8474927512112 -11.3328176358194 -12.968120260455 -8.45396517910189 -13.7939891169768 -16.1464837137322 -10.0775857431298 -11.0712012315913 -12.4846840170046 -14.0132485507112 -8.97710759928525 -10.9345552939709 -14.647785740696 -15.1372731410344 -11.4326594654082
"82" -14.471370028551 -7.99523142061696 -17.991717626647 -13.3274251999171 -10.3393831202158 -12.5887655945406 -18.2045976733105 -12.3874248277094 -16.1796683240043 -13.324230190446 -14.2260689087204 -10.5724684905726 -10.6325169098041 -14.3256086976407 -8.41930026079052 -13.3860806972766 -11.0960915186263 -13.3134170171792 -7.87783726089544 -14.6913806400788 -16.9098973562031 -10.0063067798811 -11.0542501147072 -12.7217315681333 -12.733619155208 -9.37573834778094 -10.5371949046984 -14.6294675769202 -14.9580157815744 -12.1246137574215
"83" -14.0542913307004 -7.76769080422228 -18.1710835113241 -13.0894210482976 -10.3174570678762 -12.7296627250572 -18.3226682883086 -12.5332767920566 -16.1479530333355 -13.4434511567348 -14.0950952099461 -9.44876156203904 -10.2657292709225 -13.9272342970561 -8.55746075538473 -13.5365901102869 -11.2009422259588 -12.9722503017293 -7.69300364962588 -14.7237038134214 -16.9086718738289 -9.95023445829675 -10.7979191167076 -12.9039070038102 -12.9169865962455 -9.07020627160284 -10.3182267059067 -14.8072206499997 -14.9615717264324 -12.1852445203952
"84" -14.1262144938052 -7.77043062297911 -18.2077973569289 -13.0904480859136 -10.3858726492472 -12.513435403913 -18.3736629889194 -12.530448577779 -16.0975404860411 -13.3743096998957 -13.8161434875098 -9.24677328676284 -10.3138114768067 -13.939225832256 -8.62447457059818 -13.2282524467212 -10.9717080686444 -12.8078246969513 -7.68964343909653 -14.7368293894121 -16.6354731172812 -9.61631275864705 -10.8370521245678 -12.9305463384198 -12.9805230646266 -9.05103179530098 -10.336642059999 -14.8781862382418 -14.9751325748442 -12.2345300412702
"85" -14.239065491459 -7.80357868754098 -18.1034494946229 -13.250315701317 -10.4290611143659 -12.6862943003566 -18.4023420662216 -12.1542619367614 -16.386851685191 -13.0978444252805 -13.5149085765975 -9.08556862855709 -10.4411506213949 -14.1250195682504 -8.82586818422695 -13.2132362598332 -11.0947985678013 -13.0050226116281 -7.34044027529752 -14.7612829637117 -16.641853266839 -9.75201348795856 -10.6494985881115 -13.1104323800691 -12.4409819631962 -8.78006990334956 -10.3084409023048 -14.413226874369 -15.233524071354 -11.9652986462842
"86" -14.3389898352903 -8.01273648489491 -18.1372094466333 -13.0769509424204 -10.6305041805079 -12.8662851494224 -18.0662554841993 -12.1108792881982 -16.3084182701379 -12.0761910918156 -13.3662467457089 -9.08335890744039 -10.6302434038381 -14.0774357731082 -8.81498480765854 -13.2632236063752 -11.2435639392191 -13.0418829251718 -7.43533155238894 -14.9834066675167 -16.6361779215646 -9.95522096265331 -10.5472561945158 -12.6445232805417 -12.4834695701103 -8.94389397743494 -10.2814550818418 -14.5610788835389 -15.4472732590381 -11.634046731241
"87" -14.9018499333139 -7.58579186763011 -18.1702448533255 -13.1076830736895 -11.1279591521207 -12.9474441654009 -18.3250852532528 -11.7969226860692 -16.1843768029514 -12.2685626669929 -13.6250640766139 -8.98058709578848 -11.0695709271233 -14.5065113714195 -8.8132859987651 -13.2200024207058 -10.0356219999851 -12.402412688762 -7.05787100943034 -15.2513768797598 -17.2618161425802 -10.1086379574053 -10.5662122813747 -13.0707805836632 -12.8900058306307 -8.85692829968445 -9.92100604974733 -14.5206578405196 -15.0113624214259 -12.0121150182015
"88" -14.6272580764768 -7.67248873017181 -17.9983877677884 -12.6751197559842 -10.65300041024 -12.9221035758849 -18.206989215816 -11.7525076759645 -16.281263770133 -12.1189870393533 -13.5798423159057 -9.06741598784055 -11.0569205329307 -14.6013466787657 -8.82545957845071 -13.0545465191762 -10.1197531454517 -12.4937627931837 -7.1490449957166 -15.2673449723747 -17.1728374926793 -10.197207890408 -10.1079811419476 -13.104360228502 -12.982120646152 -8.91372976334113 -9.93512158846408 -14.6137710269862 -15.1079827665616 -12.1085272852903
"89" -14.6492225933326 -7.74348010665349 -17.854344381561 -12.5681461106531 -10.705573728671 -12.9607255710748 -18.2807359486253 -11.4988604146282 -16.0475353658241 -12.1930519008243 -13.363836803177 -8.81645978795802 -11.1288517369562 -14.5503087953262 -8.87999001192992 -12.997047561906 -10.1532988906008 -12.5047155732504 -7.07047163092629 -15.3298409615132 -17.249573616659 -10.0509354394889 -10.125104798296 -13.1699910788307 -12.545473286282 -8.97948769752077 -9.6944603516133 -14.679806326204 -15.1538656690582 -12.1826815323342
"90" -14.5868652290581 -8.04594230346161 -17.9547412620145 -12.1250110958049 -9.81053262857505 -13.1600544652161 -18.4423815084225 -11.4954768726913 -16.1499231080557 -12.0756722411655 -13.5382316848115 -8.29582905390309 -11.4433106251693 -14.5956659735349 -8.23490311547987 -13.3167497759872 -10.3024939505207 -12.5601875121675 -7.00736575078125 -15.499066005419 -17.5903463875453 -9.84680173432575 -10.3746310750648 -13.3958771472931 -12.2604612776204 -9.04251348622958 -9.82769609325145 -14.8040226694056 -15.4616713752261 -12.3155409496238
"91" -14.5414515007811 -8.20339924152096 -17.7217452855294 -12.1398594416042 -9.63261735048746 -13.35992408235 -18.527588832566 -11.6953907373796 -16.0632734583271 -11.9245188594841 -13.4035562197674 -8.31276993843746 -11.628935030746 -14.4349119639849 -8.36751973587992 -13.5126057256524 -10.1753102225617 -11.8642065031057 -7.04565627530835 -15.6646991552538 -17.7030991990289 -9.95767409428245 -10.540297825884 -13.1350201738094 -12.4549443593067 -9.04832717255271 -9.72450650863432 -14.3836069753555 -15.6413474734527 -12.1140590849209
"92" -14.1826480109195 -8.41161705869293 -17.2686679294862 -12.0999700285775 -9.6533746026225 -13.0456515944806 -18.4462906731813 -11.793457761479 -16.0872168862891 -12.1423218907196 -13.6239829378893 -8.5201036413449 -11.8159014066427 -14.2216497165766 -8.43877803993414 -13.3682093240841 -10.1199634238091 -12.0817686711585 -6.70601747146624 -15.5610427442903 -17.6044693608924 -10.0246986850582 -10.3243769085133 -12.763077849159 -12.0102648043483 -9.15240872567331 -9.4605774137476 -14.3205513309273 -15.7285870982427 -12.3148842447437
"93" -13.4413783276436 -7.25776886826239 -17.4757870376245 -12.2967776892711 -9.33411604764662 -12.2958961253123 -18.7456535996444 -11.9987569623788 -14.6554350677589 -12.5447768428703 -14.0414195501138 -7.96750782273543 -11.9339625476732 -13.9966974204533 -8.86012690574078 -13.5131092768683 -9.95762729451979 -12.4256469086496 -7.42244392216957 -16.1328340260193 -18.5616829865688 -9.74561118268758 -11.0689731781341 -13.040407264816 -12.1628055352505 -9.60269487036467 -9.17714522909765 -14.3698111911118 -14.5668412780053 -12.2001319641762
"94" -13.3997341080756 -7.25256501320524 -17.3714650114716 -12.3056412608431 -9.26850623829114 -12.2184192511071 -18.5334435781801 -11.9283312116066 -14.4236877617371 -12.5545477920023 -13.6900171496072 -7.93797155662361 -11.9296096296163 -13.8024901426794 -8.8295791047637 -13.5181534207836 -9.94596520386766 -12.438832077188 -7.41113079025222 -16.113485540071 -18.432584578781 -9.75941950522101 -11.0777400625702 -13.0191646661376 -12.1159517230255 -9.61495202638412 -9.18898319024102 -14.2882412504432 -14.5807552494538 -12.1115989188171
"95" -12.4163289327152 -7.96819587654876 -16.3341768022176 -12.1704223891375 -8.9702635136345 -12.5437685810492 -18.067895459316 -11.2415488727569 -14.7091546531565 -12.7063013692901 -13.5806459282346 -7.203544770392 -11.718934134544 -13.6972577890543 -8.12614260707871 -12.6842089507654 -10.87292679387 -12.0295795186167 -7.5678537595254 -15.8747540666374 -18.5254732086196 -9.91659545358556 -11.8069965515632 -13.6057233484616 -12.2331274879282 -8.75465549508263 -8.80054809556789 -14.7386654791448 -14.2020023338729 -11.4342483236396
"96" -12.3419378370488 -8.06643894421926 -16.3778971643349 -12.1387985303263 -9.13165250519739 -12.6695711266486 -18.2323675933247 -11.3904394559982 -14.2216806898709 -12.4337455890101 -13.8140590622886 -7.31504313819376 -11.3481710058784 -13.6943861821555 -8.11216255148643 -12.2094264923074 -10.9600463665548 -11.9972137589022 -7.363831778156 -16.0254200604559 -17.991952306398 -9.56535082185708 -12.0181937114157 -13.7125134383528 -12.3864039705815 -8.90527178320153 -8.77911725068332 -14.8163433967597 -14.2635582577328 -11.0509278472852
"97" -12.3419474035229 -7.90026427664512 -16.3775937293901 -12.1375650463312 -9.13165590809903 -12.6212463411651 -18.1922251374483 -11.2998348170298 -14.2195849670849 -12.4328755831085 -13.8126312888462 -7.21077728402622 -11.3468010317071 -13.6942670399889 -7.86743173854638 -11.9760197802489 -10.9573783934114 -11.9228248032465 -7.35043999298284 -15.9163335592292 -17.980245061937 -9.55671157190883 -11.7650268568931 -13.6908216749498 -12.2732932514142 -8.89612621239124 -8.77864554341688 -14.7540877911087 -14.2467430439381 -11.0173152339731
