"Ret" "Predict" "HistMean" "Year" "OOSR2" "pENCNEW"
-0.152102778209958 0.0151983874821063 0.00322562005684879 198003 -6.8686144567482 0.00130987011033934
0.0267392971896215 -0.00613752102692925 0.000760089925629638 198004 -6.62084565430179 3.84830933213287e-05
0.0435383020144834 -0.0203932096620644 0.00116601503912951 198005 -6.58022966589258 2.79367719817625e-05
0.0242046886968174 -0.00246787512593314 0.00181789637721188 198006 -6.33536476591785 4.33127578358672e-06
0.0578914784157777 0.016580838923651 0.0021570902002362 198007 -6.3152447295062 3.67092635378263e-06
0.0115332358136731 0.0165680270723331 0.00298894674076667 198008 -6.49575869767987 1.88186754517261e-05
0.0142973047008244 0.0249990316478573 0.00311459805066236 198009 -6.50168588573286 2.46024429637615e-05
0.00109939544330106 0.00907288850063116 0.00327666626298355 198010 -6.50379658433664 4.07645577416016e-05
0.0827774264575682 0.0236645187679432 0.00324556239413094 198011 -6.49717502973697 4.14303251305981e-05
-0.0600685264661195 0.0155163895107929 0.00436572949361597 198012 -6.86659736683075 0.000681683499474506
-0.062726829908305 0.0247056023863726 0.00347080927195298 198101 -6.72047984031259 0.000195625284912682
-0.00511304938682301 0.0302418186248594 0.00256399229688095 198102 -6.37897566317769 1.2901798878584e-05
0.0232281261192072 0.00235714836217283 0.00246024849034441 198103 -6.24234757745628 8.59563945931896e-06
-0.0323166014765431 0.00913292455747369 0.00273715352539591 198104 -6.24495314017637 8.89656547853335e-06
-0.0104544579038589 0.0220304317109209 0.00227591990694935 198105 -6.19738570677473 5.70073653927139e-06
-0.0378057147358988 0.0218198783741906 0.0021105903249908 198106 -6.09554008339901 3.47977045844772e-06
-0.028193734370782 0.0109694653329866 0.00159884282421016 198107 -5.88009919820864 6.17580040662702e-07
-0.0867568639262819 -0.0202897209957242 0.00122172159389381 198108 -5.81140681266441 3.36701327485756e-07
-0.0878480905731953 -0.0410387270938092 0.000121989274891611 198109 -6.25159901708123 1.74296820678599e-05
0.0364283566135514 -0.0616011919961581 -0.000964061093603289 198110 -6.96184753985674 0.0069538349274727
0.0226417304808246 -0.0327234642327035 -0.000508055999613597 198111 -6.00475087683796 0.00018928129944884
-0.046253384517462 0.00627167232639507 -0.000229142909487836 198112 -5.71001233425283 4.77367369504655e-05
-0.0412387480165975 -0.015094032464225 -0.000777050547678005 198201 -5.64851999823976 2.65818435400966e-05
-0.0702078950434964 -0.000583615753617955 -0.00125307051790059 198202 -5.77253511203439 8.19367497928436e-05
-0.0289140101646422 -0.0153727490317397 -0.00205487080308194 198203 -5.79419800143175 7.16771649784675e-05
0.0211742352314066 -0.000613048519492964 -0.00236359654286999 198204 -5.86338960838271 0.000142599469516114
-0.0518197487297965 0.00339554916672215 -0.00209612118179866 198205 -5.87674264204847 0.000157981595092505
-0.0413429635343824 0.00151700392195982 -0.00265481362615819 198206 -5.82512727668616 9.51927589341039e-05
-0.0433251247383737 0.00255200400282253 -0.00308468195847179 198207 -5.79477187031832 7.12009584820095e-05
0.098758772023264 -0.0186149949775131 -0.0035268846263828 198208 -5.7477003031694 4.66460014281189e-05
0.00776973726436069 -0.00656461776358855 -0.00241508401062577 198209 -5.41743349002448 1.51600975617505e-06
0.101743983883284 0.00449462440316631 -0.00230556980336785 198210 -5.40572998452362 1.45634208914558e-06
0.0396052545923594 0.0134169146909589 -0.00119865965776517 198211 -5.64683055131063 5.55583052608277e-06
-0.00120072057651888 0.00745804909513475 -0.000769144770921753 198212 -5.7795092417352 1.96176557227812e-05
0.0286846338599089 0.00596707725525734 -0.000773640352230057 198301 -5.77026414673709 2.03830774159197e-05
0.019508466388043 -0.0230995299544236 -0.000469946803651305 198302 -5.81999115178469 3.12416774774782e-05
0.0216636396360264 -0.0142466765000294 -0.000266085444552383 198303 -5.64748803288453 1.27919780952279e-05
0.0578914784157777 -0.0168813505224954 -4.4573070001083e-05 198304 -5.55066062822729 6.95417511620278e-06
-0.00170144663975757 -0.0216720269322105 0.000534787444856705 198305 -5.29583825816613 7.64429623822949e-07
0.0237165266173161 -0.0200693655450945 0.00051264651332587 198306 -5.2468712879516 8.99478562743639e-07
-0.0492952917248775 -0.00491376693313309 0.000740135533953225 198307 -5.07872374706262 3.04547587592907e-07
-0.0126800531573745 -0.0252423611959716 0.000254354686780111 198308 -5.16127507463069 5.86911841349291e-07
0.00159872136369707 -0.0125545828424415 0.000129985380586317 198309 -5.16353888257719 1.30276523102602e-06
-0.0429075010112765 -0.0323119592639015 0.000143973342330229 198310 -5.13879875345593 1.32129977048479e-06
0.0144944461504525 -0.0317332440010772 -0.00026217264213776 198311 -5.36873559827515 2.54672514867771e-05
-0.0254203773469112 -0.0313383432783348 -0.000124260316973365 198312 -5.12982582188681 1.00836563636797e-05
-0.0271656680727696 -0.0268928181840131 -0.000358483622806122 198401 -5.2097577257405 4.98580516694602e-05
-0.0568878622070484 -0.0263510712509923 -0.000604421094824136 198402 -5.30460242406283 0.000190393859482274
-0.00100050033358353 -0.0242511494442105 -0.0011160887412989 198403 -5.60732695151092 0.00205923585470114
-0.0133892371190161 -0.0232565303220674 -0.00111504740429246 198404 -5.53923658326483 0.0020927855193138
-0.0698861274641664 -0.0163187832654031 -0.0012246383838882 198405 -5.54700180455248 0.00319649342525374
0.0106431600984798 -0.00752010504047389 -0.00183226218105881 198406 -5.81396231797906 0.0128680079635597
-0.036249132675121 -0.00918252597184552 -0.00172282865229093 198407 -5.79301911430707 0.0119513724818532
0.0902976379807806 -0.00981154099213949 -0.00202305738292423 198408 -5.86011580286692 0.0166559342448074
