"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13"
199606 -29.7040127685585 2.96646105331429e-27 -38.5298977875053 1.2796486121489e-39 -42.5851594431662 2.05535080626589e-43 -17.1766944866354 3.90800525765103e-10 -14.5914500509759 1.42355903270985e-11 -24.1059003330995 2.6886280030656e-19
199607 -29.6789547243352 4.03277670211557e-27 -38.5070216533955 1.92263410848712e-39 -42.5917601264824 3.40523578023801e-43 -17.1145082194604 5.34207042872921e-10 -14.5648396101936 1.83108581557649e-11 -24.0705177434601 3.8270866429056e-19
199608 -29.686773566152 5.81585311342162e-27 -38.5137064748271 3.12091680815672e-39 -42.5778992603328 6.28005958661194e-43 -17.1120054884753 6.37499624268722e-10 -14.5106983884163 2.79957258948414e-11 -24.0713091578335 5.11831942587834e-19
199609 -29.6810394509536 8.63201073599487e-27 -38.501473020971 5.21855519933393e-39 -42.5664626597111 1.16005342337108e-42 -17.1596430974263 6.33631961903762e-10 -14.5117791345468 3.34691958654214e-11 -24.0864481280217 6.46815439814467e-19
199610 -29.6766668440269 1.26473063968248e-26 -38.4972303060574 8.37889565744007e-39 -42.5316993771448 2.16891081356952e-42 -17.1862335016881 6.62209315417588e-10 -14.5123326545655 3.98006099566903e-11 -24.1073175408225 7.95603129564382e-19
199611 -29.7883007960573 1.39927468185131e-26 -38.655914196504 9.45178759372369e-39 -42.6384653734174 2.7306338309635e-42 -17.3012890548979 6.20748662140915e-10 -14.6289257480434 3.39251807467528e-11 -24.2571844703547 8.56964847291545e-19
199612 -29.9901972998023 1.24852476788039e-26 -38.9677337531956 7.69912370248969e-39 -42.8570535137357 2.94071094685559e-42 -17.4297905211248 5.93337703416528e-10 -14.6357599541257 5.26307632410396e-11 -24.5306642250616 7.95669825801342e-19
199701 -30.10848455694 1.80160086181472e-26 -39.2230139623473 8.67902246715162e-39 -43.044724533246 4.13988108316889e-42 -17.4294991314848 9.46184697301929e-10 -14.4894261766964 1.59691732493241e-10 -24.5858665121312 2.00936512798112e-18
199702 -30.5168026677788 1.05347971817522e-26 -39.7764874087944 4.33362103313619e-39 -43.6861488067898 2.11060492636037e-42 -17.5990048318828 7.90241385211533e-10 -14.4829572221126 2.91940346674914e-10 -25.0621076638361 1.32478373129665e-18
199703 -30.7717429673275 1.04735876526361e-26 -40.1422644453315 3.63604259463563e-39 -44.1140278637459 1.68775118016124e-42 -17.657947243759 9.00416351119028e-10 -14.4395403653975 5.28129307845827e-10 -25.2715117170733 1.68009876142448e-18
199704 -31.067760843584 8.63361157912862e-27 -40.5340983116746 2.81576199447651e-39 -44.4439316938082 1.90378124295126e-42 -17.6797313217136 1.15196380286185e-09 -14.2242840967487 1.74650685804826e-09 -25.3993652185148 2.52429774511152e-18
199705 -31.5213686838794 3.77749016093478e-27 -41.1243896314516 1.19012895904243e-39 -44.9134938514959 1.63766327646696e-42 -17.798474877133 1.08556068808207e-09 -13.9076631988688 8.61085503033231e-09 -25.760232817924 1.76283972734808e-18
199706 -31.9790915126285 2.4868752545693e-27 -41.8563601210731 5.44928653729599e-40 -45.4054051881511 2.11664767064242e-42 -17.8181444365954 2.34767383509083e-09 -13.2403417090548 1.90249600949755e-07 -26.1693079019856 2.86557836045882e-18
199707 -32.5164514044401 1.63491496661602e-27 -42.8761642278833 1.63852947022188e-40 -46.2214991855786 1.53447443204776e-42 -17.9378522658063 4.67338687684481e-09 -12.800867799937 2.21939577982335e-06 -26.5640422630794 6.03087920173574e-18
199708 -33.3897179284109 3.33849697760402e-28 -44.4068783228262 1.26625311798538e-41 -47.9884952296021 1.30586456824164e-43 -18.6157093277312 1.08800408621747e-09 -12.997722471843 3.35350233920084e-06 -27.9233933889754 4.65014806944276e-19
199709 -34.3354558851592 1.06923726375174e-28 -46.3039742218614 9.05149571783836e-43 -50.3795758786465 8.57845048574701e-45 -19.0589450619702 5.47990241084369e-10 -13.1922393584021 7.88251811317687e-06 -29.6136784229227 4.70660987072338e-20
199710 -35.5264014014906 1.18194572810197e-29 -48.3317907983018 3.77414196851643e-44 -52.8838141086291 3.10337187335979e-46 -19.6228777865041 1.47377177161332e-10 -13.7452129842335 4.75753568694867e-06 -31.6288650617681 8.50960650217906e-22
199711 -36.1308603623197 3.25081943973321e-30 -49.1679595860753 1.06852490258381e-44 -53.7950321253483 9.86326422686909e-47 -19.816525623796 8.00823279842309e-11 -13.9785314069345 2.8904415234875e-06 -31.9543382232931 3.61071261499294e-22
199712 -36.6130282244292 1.02307743003291e-30 -49.7445118381855 4.36307507905133e-45 -54.371146574118 5.05748161658009e-47 -19.9823257580215 4.45952871219205e-11 -14.140575597214 2.09748024047849e-06 -32.1405271607745 1.91553111158451e-22
199801 -36.9629183334302 4.94712518267824e-31 -50.2252374693126 2.2984029084637e-45 -54.8407698907561 3.41996195327154e-47 -20.1816374804524 2.43200754733962e-11 -14.1999138714936 2.21402680697257e-06 -32.3336625590535 1.03096292684216e-22
199802 -37.1332468401085 3.26900357378573e-31 -50.4365450060819 1.85574031682375e-45 -55.0284647728936 3.48078545150484e-47 -20.3050926733811 1.71300142271429e-11 -14.1531205588499 2.98394336191198e-06 -32.3772125328051 7.46104752837006e-23
199803 -37.4979748170252 1.11947389800553e-31 -50.9805957542129 6.99422340028928e-46 -55.616914962628 1.43598470540112e-47 -20.5475706093638 8.41873493760979e-12 -14.1346992792037 4.23157366714395e-06 -32.7748108892429 1.45958080727955e-23
199804 -37.7634088401058 4.06831585563755e-32 -51.4001892447532 2.84207405345137e-46 -56.1014259379786 5.58592485086552e-48 -20.6913123444902 5.03991030557347e-12 -14.166188821476 4.49725651584439e-06 -32.7692850571229 7.64501613312681e-24
199805 -37.7373927536899 4.16620005156101e-32 -51.3240865233094 4.1864296198464e-46 -55.9293622407936 9.39624711999477e-48 -20.5972878402319 8.18700164072689e-12 -14.1665624958813 5.00055510860493e-06 -32.2166233755987 5.41830739795718e-23
199806 -37.5022962279332 9.03774333951538e-32 -51.0529550305584 1.07370233792168e-45 -55.4759353111421 3.53128699189543e-47 -20.4263403859823 1.67709712641212e-11 -14.1257604554723 6.21076046288392e-06 -31.4688314531169 1.03232102904459e-21
199807 -37.0258356646262 4.90966590229542e-31 -50.5947810435304 6.25563154509903e-45 -54.8900191594573 2.93284259654884e-46 -20.1135464804233 6.42185721570455e-11 -13.9559102849861 1.26539643372012e-05 -30.4631887825078 8.34388481186369e-20
199808 -36.6953913375626 2.1469704358548e-30 -50.2633934185531 2.88548616942387e-44 -54.5057039292028 1.85662947556316e-45 -19.6120855024942 3.72741025259193e-10 -13.1439449508979 0.000108847505529273 -29.4212807922168 1.20516190496354e-17
199809 -36.1620474730378 2.04798996949732e-29 -49.7764780316123 2.5300971890695e-43 -53.9240100507431 2.5655331917783e-44 -18.9204035322303 4.31695647294738e-09 -11.9434428757525 0.00245989351135844 -27.7845878575123 3.59951120168546e-14
199810 -35.1021915869611 5.72039900319472e-28 -48.5707664941475 6.58981197707865e-42 -52.5260091358169 1.28330379460973e-42 -18.2107071298303 2.60791680204116e-08 -11.2560916597368 0.0110950430583592 -24.9319217104623 6.30125158749649e-10
199811 -34.3657683923172 6.27953580051868e-27 -47.7312252245123 6.40955620047611e-41 -51.5722565459518 1.50626030389302e-41 -17.739028109608 7.70860561468195e-08 -10.9570685438911 0.0184500672278869 -23.5243725710868 1.74002213426954e-08
199812 -33.5637005611811 8.03802752284281e-26 -46.8067002956845 7.05182451744466e-40 -50.5150014507018 1.85721661240132e-40 -17.0861077613511 3.59745909353749e-07 -10.3925925490148 0.0435481323569121 -22.0921280142776 2.97183718754985e-07
199901 -33.0759243897538 6.69290879332655e-25 -46.2932476370363 5.92089995217351e-39 -49.9130759519402 2.04763731066574e-39 -16.4742757396785 2.35946419566629e-06 -9.85949037432432 0.105665016541699 -20.8572083386819 8.20221593778072e-06
199902 -32.7814370124328 2.94900720818503e-24 -45.9944151888546 2.95420176320405e-38 -49.6715771728976 1.33177199804311e-38 -16.1233939730155 6.54705136555569e-06 -9.5686652162591 0.160853753622079 -20.0262299208038 6.67094683554399e-05
199903 -32.9204059433395 3.50393223433674e-24 -46.3994807779912 3.02011352567348e-38 -50.5288457470769 8.13241493377942e-39 -16.0860049738691 9.02277666843231e-06 -9.58971158555375 0.163673068102893 -19.9176618243988 0.000100159722699639
199904 -32.9829785202819 5.45184301693044e-24 -46.6588011595448 4.35761198890064e-38 -51.0915457944885 9.63876957566155e-39 -16.0339064247068 1.20784415911851e-05 -9.61746405527397 0.161161889781932 -19.8233375360033 0.000129134568019158
199905 -32.9638548633609 8.77630587004499e-24 -46.6366457199468 8.02609333708828e-38 -51.0599571381581 1.92840870354797e-38 -16.0581553562072 1.23122982761741e-05 -9.58377986692735 0.171923989161827 -19.9765655788225 8.75197740101309e-05
199906 -32.9729414666895 1.29582075186271e-23 -46.6544306690619 1.36285704371615e-37 -51.0793152783237 3.26151875503052e-38 -16.0596366432873 1.36428365690161e-05 -9.44999251730969 0.205777309181222 -20.1988603310847 6.22053276115211e-05
199907 -32.9784999355296 1.93869479119065e-23 -46.693331011004 2.2753169874034e-37 -51.1625024849819 5.12647336452623e-38 -16.059129338172 1.51658632908613e-05 -9.36178580977589 0.226445659660309 -20.4054996960784 4.72263811442096e-05
199908 -32.982359453703 2.9234986316425e-23 -46.7084987980556 3.94698236729804e-37 -51.1757525770374 9.139332990108e-38 -16.0635338593593 1.65810321194598e-05 -9.37711986614365 0.212720867156292 -20.5925480162926 3.42178011565451e-05
199909 -32.9569799645917 4.74618698167803e-23 -46.6733950537039 7.52481326810185e-37 -51.1338143543201 1.70935647173591e-37 -16.0577524461428 1.85273463617005e-05 -9.34888779546779 0.219866975778856 -20.5993767644975 3.89669093502774e-05
199910 -32.9008680339661 9.84843621051032e-23 -46.6087805530986 1.66516222794898e-36 -51.0177081993422 4.03771139170792e-37 -16.0342909250863 2.20985907063439e-05 -9.34558456338763 0.220952732311634 -20.5917542516407 4.79934060962395e-05
199911 -32.6351239614315 4.11100012579034e-22 -46.3325545627796 6.019238252707e-36 -50.6700719095307 1.47412344037302e-36 -15.8960943254468 3.58572794891493e-05 -9.35409032497025 0.222263893031922 -20.3932436980704 9.39954993179663e-05
199912 -32.135522820861 3.67787367219212e-21 -45.7820904433096 3.79731214723054e-35 -49.9756499104937 9.17059431050348e-36 -15.5702370713697 9.56205450500777e-05 -9.13765634100057 0.290929843192753 -19.9573665503618 0.000274799586364201
200001 -30.9847089218369 1.94277940249148e-19 -44.6010055333772 8.25876340835427e-34 -48.7085720913279 1.6457555603309e-34 -14.8601103112623 0.000568690407245741 -9.11014714393628 0.313284161528488 -19.1255833330672 0.00140535761017098
200002 -28.9806590426422 3.92533351193985e-17 -42.4659038975164 5.13168814885707e-32 -46.4271332197759 1.06313184871109e-32 -13.9197043455979 0.0028066657048246 -9.12543969396389 0.314201080409031 -18.3393003916244 0.00257274209845834
200003 -26.1249971534904 4.71870535277686e-14 -39.2996506200717 1.95732927898761e-29 -43.0307458557384 3.74522271306739e-30 -12.1327932832706 0.0369862671763148 -8.98061906169385 0.366615473383878 -17.9045800896859 0.00117484005098485
200004 -21.6099583691662 5.48564947916855e-09 -34.8401554922571 2.33225605929447e-25 -39.0777646574273 8.40270345177241e-27 -9.24764048922688 0.69201654925289 -9.10201730653926 0.344823386653821 -16.6775966693002 0.00285159621619207
200005 -18.2955883817016 6.96541883442129e-06 -31.8482183954559 4.18096926022763e-23 -36.1825192413429 5.44019341613762e-25 -7.10482891873263 0.435468306523818 -8.69081777692569 0.485595405096667 -15.5007510185711 0.00681964798038351
200006 -16.0788824601427 0.000455739438314278 -30.2115125471141 4.57166889305617e-22 -34.5810339835965 1.99469392046519e-24 -5.70921332482364 0.109914744732529 -8.50749717624226 0.533364913331292 -15.3744894314888 0.00402630384265822
200007 -13.7721818710599 0.0202909101475223 -28.5153180797481 9.86324120182565e-21 -32.8130418478665 1.5448466474586e-23 -4.13229076021659 0.00916412281782188 -7.99308295464838 0.743893976670071 -14.877671367332 0.00592295299643643
200008 -10.2933486832679 0.633080063032887 -25.9272607997202 7.892009580175e-19 -30.161613275398 4.28269958172524e-22 -1.81924536523239 7.36197262993073e-05 -6.95615629570108 0.804451567610459 -13.9405917968577 0.0128649322298303
200009 -7.73950291553624 0.277999983306992 -24.1137651838674 3.21054985002994e-17 -28.0752302966912 1.72994430535991e-20 -0.0996409170224144 4.90864483806095e-07 -6.0777438963217 0.421107439544305 -13.1760048778972 0.0345711597041307
200010 -4.94730473746303 0.00478051568708961 -21.9389937983251 3.7301063585461e-15 -25.5328983164019 2.58556345875867e-18 1.76587842646044 7.19140079959474e-10 -4.81645199227587 0.088887564615031 -12.1929846000843 0.118864086840778
200011 -3.54712131168007 0.000225990671936617 -20.9658847254465 2.68838047924047e-14 -24.2800537800673 2.71651523707027e-17 2.7104007111474 1.72169914809964e-11 -4.44312907704807 0.0478508103168718 -11.9263727206579 0.166512372136033
200012 -2.76457131566252 3.01351084799429e-05 -20.4838880671933 6.86311093865077e-14 -23.502997635509 1.08370728663565e-16 3.13673591916778 3.45456973023595e-12 -4.2824041605185 0.0367589417604862 -11.8328601572318 0.18832343956043
200101 -2.79084903675317 3.20182470340518e-05 -20.436883819479 1.06057849436034e-13 -23.292528707668 2.4177452826486e-16 3.08844991782994 5.29045133073285e-12 -4.41934733516991 0.047802216049815 -11.9989906161645 0.147662096139076
200102 -3.20767538499234 0.000174654910990403 -20.4065103794458 1.17732585975706e-13 -23.3174199434621 3.08648156028848e-16 2.7547606434466 5.9119803005958e-11 -4.82216271126696 0.126249913090447 -12.2530388734626 0.0642648594031276
200103 -3.36429367749775 0.000290141872771895 -20.4081361645813 1.56618031255843e-13 -23.1663703224098 5.66062466627723e-16 2.65450181594217 1.2260611423613e-10 -5.06883551849566 0.187061407413318 -12.4482314246068 0.0482214971399549
200104 -3.34905985650205 0.000304315724707073 -20.5265011290834 1.48800413513138e-13 -23.1930972787199 5.88854863997867e-16 2.6568519721005 1.527398846605e-10 -5.05645991726011 0.193216342471884 -12.4424025453637 0.0428292425924165
200105 -3.22478231264074 0.000243818477102675 -20.6132077263102 1.49251456065632e-13 -23.1875521215196 6.95829399657894e-16 2.69380605613916 1.65376286703411e-10 -5.08701949374499 0.205961547194738 -12.33923376471 0.0433444623057146
200106 -3.18651203424225 0.000238156544442586 -20.6641724229651 1.76780637272743e-13 -23.1798699695278 9.02183622347325e-16 2.69405750348578 2.0828093222742e-10 -5.08916716946421 0.219236472672403 -12.228313968585 0.0418363648634143
200107 -3.1904947810216 0.000253127296189471 -20.6464351590445 2.52190232975354e-13 -23.1711836958912 1.29463494770241e-15 2.6664212138809 2.95163646889767e-10 -5.2279997761248 0.285229606490696 -12.1822855169943 0.0366890286044681
200108 -3.39778653620901 0.000717441494216873 -20.4272798281259 3.6350150275103e-13 -23.1108703849272 1.2503687220432e-15 2.49008542903295 1.31263866232446e-09 -5.39737365134492 0.423382554327503 -12.2294167432918 0.0266837207121144
200109 -3.53533626460427 0.00133084797029809 -20.2819837290621 5.64259475673017e-13 -23.0707533009611 1.59036467190357e-15 2.33075673177494 4.25651753064842e-09 -5.51031192466611 0.517739257356139 -12.2966585944797 0.0190558227427176
200110 -3.56559790504449 0.00186680506069359 -19.9776554966312 1.35883915716303e-12 -22.8713611703516 2.95969534085874e-15 2.25891549941615 9.27469459163222e-09 -5.38726920842332 0.513414215748523 -12.1466804050183 0.0165691130293832
200111 -3.68993695318875 0.00314691897370383 -19.7708204201014 2.39353975406143e-12 -22.7525009249299 4.4526034220649e-15 2.2144529772299 1.7621603440506e-08 -5.31382566649983 0.528298389717882 -11.9404903376143 0.013959875381307
200112 -3.95995084616403 0.00802066593393419 -19.6410275046638 2.47838800661606e-12 -22.6189973987771 4.93938352075251e-15 2.07905663787245 5.63743154519599e-08 -5.33685828715196 0.632529658765557 -11.862870149226 0.00938984118857829
200201 -4.20536749263658 0.0169622610314321 -19.5380647447966 2.78210833693296e-12 -22.5486078659332 5.39489971203177e-15 1.87919121583808 2.02848731827512e-07 -5.54789107394378 0.821113097755892 -12.1596250958499 0.00387774944160022
