"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
-0.209714336766953 -1.9335984629509 -0.302523429026629 -2.77640154605709 -0.297984087248491 -1.49190866555503 -0.162247040074303 2.68835167461066 -0.214776231493469 3.02442915785396 -0.291726652617478 -2.37601064833207
-0.204039558997271 -1.79527890974385 -0.295033134170874 -2.59610230654923 -0.287231879268588 -1.20674968971341 -0.159751346535919 2.68537982119097 -0.21228930460079 3.01634457513488 -0.286844564290757 -2.1952709987185
-0.204319862335128 -1.80936087840098 -0.295887085601213 -2.63467697506728 -0.288604242485706 -1.27381519946474 -0.160297945968155 2.66860372144164 -0.213743308011816 2.97308681936288 -0.287454134637362 -2.16105001424615
-0.207060886463123 -1.91070692375561 -0.299845715681968 -2.76168722197647 -0.294260730076767 -1.46140522353785 -0.163715947534142 2.49898471309033 -0.218770962424561 2.70539540404053 -0.291855725785344 -2.36976398054476
-0.209212525580764 -1.95912303093695 -0.304093360995347 -2.84139898428935 -0.300638640157736 -1.59505539450605 -0.166591210627846 2.33533822550416 -0.224025570809769 2.44627616843501 -0.297481126063817 -2.51582091683365
-0.20951814329447 -1.95397072977905 -0.305346784331943 -2.85312926817291 -0.301239738319631 -1.60700286891528 -0.163872076744383 2.43703731568586 -0.222464931525402 2.44525325040509 -0.296389531606172 -2.49296617466387
-0.209452544121574 -1.94909939734941 -0.306215603912279 -2.86683946103215 -0.301978681141862 -1.62452150671907 -0.163224541855236 2.44266341345452 -0.220871066144976 2.47488811274418 -0.294694453481096 -2.42718393091792
-0.20701343011356 -1.84767162667516 -0.303776195200762 -2.78553194225574 -0.300201306790745 -1.56285170903939 -0.154441447292716 2.70520244466862 -0.208837814355205 2.81193056775351 -0.288779212395283 -2.26670610541137
-0.207755003821718 -1.75904556172983 -0.306191816182037 -2.64589890742312 -0.301515103163415 -1.38733486634425 -0.155500718425973 2.68372543867526 -0.211126201568979 2.81566092513772 -0.290168367614624 -2.20112864016028
-0.197370461554801 -1.52415336623931 -0.290425332921257 -2.2783711536232 -0.287696447032962 -1.10053965880719 -0.14397399215081 3.05026989927998 -0.19605345849652 3.39897575650579 -0.282698125288127 -1.95990629213532
-0.195764720817109 -1.54604270952568 -0.287804745153715 -2.32827288505304 -0.285030950720716 -1.14995081163712 -0.142988396569032 3.01526238119154 -0.191449068240696 3.4139833471993 -0.276958166280747 -1.83244457501932
-0.197411439960698 -1.56215464381157 -0.290638426198278 -2.35467864268804 -0.286800645994351 -1.16383537146016 -0.146592856142383 2.8350828138113 -0.196246946073869 3.19025326393829 -0.280768900479379 -1.92478331166255
-0.198381879588407 -1.5871249007993 -0.292895530159106 -2.40851005593177 -0.28968362367551 -1.25414304339711 -0.148627698629476 2.72651575058337 -0.202168471639741 2.95150042584784 -0.284532625890393 -2.04020834895703
-0.198596432270715 -1.58124046921268 -0.293225981324119 -2.40037038307173 -0.289947872079632 -1.25264455581486 -0.149944054533678 2.65200764966873 -0.203704965167273 2.89873279806294 -0.2852717327974 -2.02833051647311
-0.189488028132414 -1.27964109008835 -0.281833936531949 -2.02326533896632 -0.279193257691031 -0.893651186993812 -0.139391437249718 3.10790573293133 -0.190206722415382 3.50456919290717 -0.274321000312583 -1.618564215251
-0.188885744247609 -1.2366154467841 -0.282025990204135 -1.98963376659983 -0.279482165452496 -0.879615994019539 -0.138009869967911 3.04690104258846 -0.190682838081798 3.3657518659838 -0.275555072224658 -1.68502180975685
-0.192738280267943 -1.27346091667768 -0.290637635703999 -2.0665374187188 -0.286256007465343 -0.928194159561908 -0.131893258448865 3.37473969286523 -0.184145942296825 3.70392908042015 -0.271644755480224 -1.5092756916293
-0.200868939124156 -1.56564490337833 -0.305157383040103 -2.47804682359521 -0.303349841011429 -1.40964019528639 -0.156786559410431 2.42631023108822 -0.208417774264445 2.76542296285634 -0.288861862940424 -2.02778345877664
-0.199711037967411 -1.52147615367926 -0.305333277365315 -2.46844274225418 -0.302822339298381 -1.40465021264556 -0.16063928019903 2.13078268818565 -0.209535726154062 2.68172136780968 -0.288373569161136 -2.02029652366167
-0.200587811291526 -1.49178378089647 -0.308684062506627 -2.45867259948474 -0.305620598997884 -1.42183742653231 -0.159180590272587 2.18792912551535 -0.205349134462337 2.80038343067048 -0.286047512220842 -1.93542800578776
-0.199354084930561 -1.51604229669791 -0.308327653974322 -2.5417956047948 -0.306907025267772 -1.6250539101491 -0.145454655547629 2.44801359875926 -0.186374526067141 3.18697786954082 -0.272291895044297 -1.64887012169132
-0.224575214473914 -2.24038723899801 -0.349205564728672 -3.494757666659 -0.338730330964832 -2.37621518111304 -0.174676088156324 1.54863285517543 -0.214770986406089 2.30982598699127 -0.285151854469561 -1.93010179145228
-0.223494382161207 -2.17756319411568 -0.348155470550655 -3.4219255774132 -0.338282114132845 -2.31785503849019 -0.179973718881107 1.40763278757394 -0.218727889216977 2.23222177422888 -0.285876831815709 -1.89370505158116
-0.225686201424867 -2.13210323216291 -0.355102893645138 -3.38723187130389 -0.345718855218257 -2.28296041942613 -0.179988647123252 1.39438314988447 -0.218972973180323 2.26713875148535 -0.285788047178925 -1.82144903782387
-0.239173272958831 -2.62545713500363 -0.381635910254565 -4.1538897175797 -0.371393859983899 -3.05654686084509 -0.186161322722917 1.31931683499075 -0.237433310187617 1.79852708338157 -0.30182434719788 -2.18815361162094
-0.227414829113789 -2.12250789017374 -0.372918541690058 -3.57739933032188 -0.360945036282554 -2.46343518849099 -0.185635424966329 1.32028590546616 -0.239323381996968 1.68634424122151 -0.308419542361857 -2.33853091675775
-0.226685153570225 -2.08163043966091 -0.371636181496049 -3.51752642499228 -0.36005339577677 -2.44884154900868 -0.185837943531427 1.47632879277202 -0.24512992925916 1.69785511964681 -0.310147960858519 -2.32950691198969
