"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13"
199507 0.219390573782796 3.12023323893931e-13 -2.51674585740669 0.00137105219203698 -4.13960280617778 0.00599328624194839 1.88902631065938 1.12556943508898e-21 -1.41419179930746 1.54542182102723e-05 -1.80638471049959 1.04767988827459e-05
199508 0.218648543474176 3.8168839385778e-13 -2.51648560606617 0.00143216267640293 -4.13918561891151 0.00617434627619376 1.90141981312948 1.28571137694489e-21 -1.41377261131987 1.6206671352085e-05 -1.80815675747594 1.123079672749e-05
199509 0.216509140461663 4.68151743011435e-13 -2.51638348770444 0.00149504603690749 -4.14089128532757 0.00642451381861834 1.91185181873428 1.47771715003465e-21 -1.40219638524333 1.63306721350558e-05 -1.80101736122822 1.16977604394931e-05
199510 0.224381159727172 4.92720648550086e-13 -2.53405718874695 0.00157746585215572 -4.18716913445292 0.00739350333040681 1.91294801496894 1.89836640670228e-21 -1.41394786939195 1.84470143060669e-05 -1.82045485035316 1.36393301181626e-05
199511 0.226531305494304 5.7866866953568e-13 -2.52572133966515 0.00159617711867555 -4.1605193106685 0.00703912114103948 1.92015074649524 2.17413472885117e-21 -1.39457880948668 1.76794562480849e-05 -1.78955733030814 1.22768197782948e-05
199512 0.209701806740747 7.81587252632273e-13 -2.53146924426211 0.00167185588494054 -4.1480302180932 0.00677927375466012 1.90501252001698 3.33720088386443e-21 -1.40167335308459 1.91649378808619e-05 -1.78761918981758 1.27482545812298e-05
199601 0.20189772459418 1.0246341996458e-12 -2.53879522136375 0.00179879495481725 -4.1517076296709 0.00708787208358862 1.90002723082643 4.82785407922603e-21 -1.40967072390414 2.15146522951688e-05 -1.79428608728061 1.41765257131161e-05
199602 0.178447524134018 1.46618251916853e-12 -2.54663919704106 0.0019349732630272 -4.15541966929156 0.00740576262328703 1.90066854131331 6.60669841173262e-21 -1.41250097924859 2.35803324164344e-05 -1.79399335670589 1.53299110719672e-05
199603 0.161504973278159 2.06619013047506e-12 -2.55894785537374 0.00212015393950598 -4.16146629991827 0.00779479284678459 1.89181627604796 9.87327596829317e-21 -1.42448873823833 2.69203511513698e-05 -1.79822377737346 1.69074593334216e-05
199604 0.0776184233334254 3.81290674596136e-12 -2.60845372133667 0.00244519859473287 -4.18825143442156 0.00813170341539835 1.8684264818612 1.59351195463973e-20 -1.44398134581929 3.09939663627981e-05 -1.80275861932251 1.84824945391013e-05
199605 0.0434585704993551 6.06493034662417e-12 -2.62509282830987 0.00272184286329161 -4.20208304030349 0.00873744350302716 1.86554864486986 2.23274895351887e-20 -1.43605457062401 3.20226711160945e-05 -1.80267719354295 1.99335142654172e-05
199606 0.0965831493910052 4.55564886683121e-12 -2.62076836101555 0.00270027561594396 -4.20956614433754 0.00906818518793254 1.8669136894166 2.94926205837062e-20 -1.44080418343684 3.52478221762424e-05 -1.80188767556997 2.15907294773035e-05
199607 0.0381939908156492 5.20184820473865e-12 -2.74053463505108 0.00382950264845022 -4.32370788254701 0.0126054798217475 1.83835232520039 3.80225649970195e-20 -1.5173625109929 5.07263926306155e-05 -1.86827927298099 3.07689179709654e-05
199608 0.0508167960246331 5.49655431846057e-12 -2.73059029208687 0.00379213169484652 -4.32443788237988 0.0129972079160442 1.84294046637276 4.96178289098509e-20 -1.5056795811188 5.17676753683927e-05 -1.86329753080647 3.23567578851143e-05
199609 0.0444743670603209 7.05169567228679e-12 -2.73068700122794 0.00398311464183316 -4.32270238761161 0.0134659509282638 1.83141120824851 6.28323970204263e-20 -1.52160863473652 5.76274162067055e-05 -1.87957474222131 3.69281582861559e-05
199610 0.0739227131061115 6.72723827487653e-12 -2.721073386148 0.00401606630944788 -4.31412357909362 0.0135939541843043 1.84165561590425 7.60680940867818e-20 -1.51866716681073 6.10558173740411e-05 -1.88391491133224 4.06750394262553e-05
199611 0.0720616993572065 8.25222839227624e-12 -2.73805704213237 0.00441593353550363 -4.34215208777391 0.0151716804312553 1.8261002307067 9.86181820380048e-20 -1.54877636647404 6.8970321972604e-05 -1.94177608818609 5.1223941628288e-05
199612 0.126028687492163 7.12997623417931e-12 -2.69873655115398 0.00417083169678678 -4.27999722701571 0.0135696257378162 1.92821708433236 5.6006708435666e-20 -1.48996470018141 5.86934523396464e-05 -1.8667085061012 4.13010297372955e-05
199701 0.154513744292351 7.80461944001235e-12 -2.68065080484303 0.00435563653584353 -4.23639015591888 0.0131672853174578 1.94140400957428 7.47476229237036e-20 -1.45522624223262 5.73676974104578e-05 -1.84922572300046 4.4709119408555e-05
199702 0.22863171831311 5.70105747640219e-12 -2.62907498457206 0.00393063051152432 -4.22839601522378 0.0137840963727576 1.94356606826526 1.05193916286737e-19 -1.4327795212667 5.76515133484095e-05 -1.86468444558208 5.43547843785048e-05
199703 0.319881549503576 3.09193339775648e-12 -2.54582437503872 0.00297864309516871 -4.16116393196095 0.0115482135201758 2.05669682841246 4.90911075716464e-20 -1.39435262615837 5.24687183107857e-05 -1.77775001006235 3.90906126271673e-05
199704 0.368363418423734 2.63732571088263e-12 -2.47989564537046 0.00248809961560056 -4.09291730295831 0.00987651314683471 1.98190175025897 1.1788963149746e-19 -1.42172624313106 6.62990648497839e-05 -1.80521019524613 4.98986814361159e-05
199705 0.199483984601723 7.01725874923864e-12 -2.7429551709921 0.00544883823309073 -4.35999506447422 0.0198954703566229 1.72008184627206 9.99416709080321e-19 -1.67993231531198 0.000201579181856654 -1.99677172741777 0.000123835844990597
199706 0.189379141972246 1.21154177246298e-11 -2.81971515530735 0.00858936158955092 -4.53030751588783 0.0375940074335159 1.48138827513566 1.35756298752622e-17 -1.88655636972452 0.000610966698996045 -2.13674340320156 0.000288736810003162
199707 0.249104619907126 1.1447152854821e-11 -2.76208239567903 0.00840143087733451 -4.4005037077075 0.0316309055777933 1.26828717394154 1.34125071849069e-16 -2.08643871100058 0.00162441065143289 -2.30340658778967 0.000692677072701634
199708 0.260062472285894 1.32684724278356e-11 -2.727101506055 0.00797387324076849 -4.33826409981291 0.0280329323236765 1.609632796548 7.31643080557959e-18 -1.86761149189614 0.000690009115773468 -2.10922109534584 0.000315901944522845
199709 0.200776247782863 2.32143227665018e-11 -2.79231255175236 0.0101490531477594 -4.3813412870841 0.0327354242106276 1.5011840529947 2.01306034052958e-17 -2.0095588530145 0.00117620105634308 -2.229677441448 0.00051406055732289
199710 0.26103357915519 1.6197087140364e-11 -2.7209119770232 0.00767701562100291 -4.32905776664114 0.0277362458441931 1.63548193590335 6.25222245862922e-18 -1.8836941706426 0.000663943529001664 -2.13789051478479 0.000354102215330285
199711 0.241441467131387 1.89910388288413e-11 -2.7595280288301 0.00824045253887434 -4.37975186075867 0.0294849997111859 1.63934511619485 7.92204037363987e-18 -1.88350741112857 0.000700504718491886 -2.13578577158409 0.000372345721391219
199712 0.219345886363975 2.48211146929552e-11 -2.79463136057483 0.0092225151149418 -4.40451826908856 0.0320689667546167 1.6420438848903 1.03205856462045e-17 -1.8837509811479 0.000741770185984139 -2.14807017731153 0.000410405702472931
199801 0.208686224801202 3.14441110745684e-11 -2.79707357178427 0.00961453615606499 -4.4143752455666 0.0334154660193265 1.56908880696525 2.30043022553802e-17 -1.89307332163315 0.000831032827086973 -2.15365208447034 0.000456977273036611
199802 0.0712081085715077 8.02385786179376e-11 -2.95896644727798 0.0147430520330197 -4.60610104069521 0.0502111861233449 1.32791120636633 1.74469309273678e-16 -2.13464098924199 0.00199632927214882 -2.38624834466572 0.00107720597270066
199803 0.000664967573105191 1.61237148685409e-10 -3.04005460944738 0.0195870971264287 -4.732205217107 0.0692547297892153 1.2633310971038 4.87753354704796e-16 -2.30513308015341 0.00394282529715926 -2.6026304490703 0.002456016903688
199804 -0.0127431437484615 2.37350432592942e-10 -3.05412449501781 0.0221296827774282 -4.71920900796907 0.0728736043252033 1.30257614811934 6.67919848904358e-16 -2.30262885767867 0.00466330774349848 -2.54811130082664 0.00246858395804005
199805 0.115443903441681 1.37306919841262e-10 -2.91670439713863 0.0159615156705719 -4.61663628386491 0.0613203666326071 1.51990571099446 2.11138716884595e-16 -2.18101708997585 0.00361510629712389 -2.46699517004028 0.00216981802603808
199806 0.176299411966052 1.19257755971817e-10 -2.81746678895332 0.0123812814094936 -4.50782468259519 0.0489552374590352 1.41861157046206 6.51483256543306e-16 -2.15905833490073 0.00379855001495984 -2.43238793748533 0.00218617217400559
199807 0.320484226851125 6.02520549359563e-11 -2.66156118364844 0.00779727510166767 -4.32056860836263 0.0303362696612691 1.51087964124381 6.04627730150604e-16 -2.00685961953209 0.00265642154730176 -2.32941836221057 0.0017810628621455
199808 0.41327491162837 7.302163630651e-12 -2.69672925740823 0.00378530244416842 -4.38172605964922 0.0160432822469945 1.80395983324809 1.54840244997676e-17 -1.86412841931178 0.000606017713001561 -2.18450427192416 0.00034671476506205
199809 0.425279030430559 8.1691040830285e-12 -2.68835063260653 0.00385782101695923 -4.39427942964665 0.0171323876312537 1.76796272781731 2.52409490467465e-17 -1.86248166145326 0.000638896769586338 -2.18335222520201 0.000366849826952645
199810 0.274677148842706 2.77165456971656e-11 -2.92802635019633 0.0082861013594312 -4.67137250984118 0.0334649583622812 1.30242054040035 7.98117697109943e-16 -2.28999353147832 0.00270623869262092 -2.53358080666037 0.00121298711323979
199811 0.0975106127920733 1.06866135000081e-10 -3.11715139141668 0.0156520215949125 -4.85030194432177 0.0551113813961487 0.972312920130647 1.26778932517955e-14 -2.51534073292601 0.00629771765533184 -2.69064840703439 0.00233548285014933
199812 -0.0326805399509356 3.33903402333678e-10 -3.19855283631458 0.0224011369805517 -4.85269909530295 0.0627821673962713 0.541534653069675 3.81439058152012e-13 -2.605777349508 0.009935459938499 -2.76796374024726 0.00353221728458682
199901 -0.121413962282579 7.64915889361474e-10 -3.17790319447904 0.0236303294622779 -4.76987876176247 0.0563502135656234 0.389597516405604 1.97584132232284e-12 -2.56227980875363 0.0100244867452618 -2.70030696745658 0.00321057741525019
199902 0.050215649427543 3.75992776862611e-10 -2.95014574404124 0.0132511306968114 -4.60078066240799 0.0381544435798152 0.866609829677345 1.416522588105e-13 -2.41929480683287 0.00720986104792685 -2.56796591783146 0.00221574880319759
199903 -0.000277109828905608 5.93710576801033e-10 -2.96018127922353 0.0140205042560933 -4.59962945542332 0.0376390454531835 0.738792743032368 4.12299588498054e-13 -2.46280668152337 0.00837858815254644 -2.58408740482892 0.00239405613607661
199904 -0.215606547688973 2.37891176026918e-09 -3.15708555147856 0.021961452976884 -4.85381645844489 0.0569775096103796 0.752169842683281 7.10431835081077e-13 -2.72516254307853 0.0169707963416462 -2.74614752256428 0.0038385510428032
199905 -0.0585598525858044 1.79658095074308e-09 -3.08258291804717 0.021739820527266 -4.72571747929267 0.0515460684700397 1.24232118251557 5.67323532235522e-14 -2.35287605205639 0.00723205599031827 -2.49755955574362 0.00198170111913939
