"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12"
-0.0683095449927471 -2.024232311754 -0.128931437321117 -4.03832542075129 -0.107615200622375 -3.47182953253398 -0.0468583719769318 -0.859127757466661 -0.0845642270453275 -1.80624160576218 -0.0156943302678523 0.787388889949937
-0.0682927046380148 -2.01465607843769 -0.129063857688736 -4.008839392408 -0.10742283257232 -3.43390741095584 -0.0466722134706812 -0.851227568217676 -0.0826036243326402 -1.67781307182643 -0.0150818125516823 0.816284386957391
-0.0640718004165119 -1.79073050373667 -0.123115956982069 -3.71548838642623 -0.104256949474292 -3.26011357161507 -0.0466281448897565 -0.84167737391803 -0.0822979385979603 -1.64294763511354 -0.0138310092736664 0.867087821602568
-0.0646792485511716 -1.80969986481895 -0.124843010935235 -3.78040744437507 -0.105685618355103 -3.31179839805394 -0.0482753971433783 -0.921904208501665 -0.0876827270192675 -1.91876776263238 -0.014995912247366 0.781977530480206
-0.0649387763136939 -1.80605638582289 -0.125242702967876 -3.76911934409473 -0.105471147085208 -3.28392557056122 -0.04973182254543 -0.991566974548187 -0.0879979347729631 -1.91634263688666 -0.0143696889539384 0.807838007471498
-0.0648809109894499 -1.78751119774857 -0.125286866720125 -3.73769027239606 -0.105557956935368 -3.25730340291837 -0.0499361026599263 -0.990704619117682 -0.088060413426635 -1.89716571235146 -0.014031735050192 0.819731816477869
-0.0650002687561935 -1.77852726674773 -0.125749647048333 -3.72089386498301 -0.105731635635394 -3.23137446845124 -0.050025056466227 -0.985243865379096 -0.0879662518855899 -1.87163200335796 -0.013908273138731 0.822769313542537
-0.0650167412943146 -1.76270807808015 -0.125705780278379 -3.68403594331151 -0.105630294088371 -3.19715191183704 -0.0503271432490091 -0.991304118076731 -0.0879536519134807 -1.85633303722754 -0.0139082905653378 0.81487266884236
-0.0646539950869645 -1.72353575253664 -0.125729410337988 -3.64516160620912 -0.10597015191991 -3.17175233664878 -0.050330605544944 -0.982131361850802 -0.0879947913285184 -1.84074015848786 -0.013990688391704 0.805204525898806
-0.0654250752538437 -1.74024900206547 -0.124880013645461 -3.57073723933158 -0.104794911356508 -3.09335566348131 -0.0484560462786023 -0.897571794130929 -0.0866487487046508 -1.78859617080502 -0.0129348606949202 0.843198905772299
-0.0610099857674506 -1.54093535746405 -0.122151143044431 -3.42566939112079 -0.106133499888166 -3.1131096924163 -0.050296847284887 -0.991355984417056 -0.086690299394458 -1.78877669233426 -0.0130671651810375 0.829556835371333
-0.0596084783705975 -1.43116750206598 -0.121626684435638 -3.31998406125357 -0.104224141196817 -2.96313471313077 -0.0435025725580713 -0.659164207441719 -0.0794058406787725 -1.43480776539234 -0.0109688468043618 0.941138364623456
