"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11"
199507 -3.04349921133162 0.149784640218166 -2.50584968806473 0.253685547956684 -2.32842559554329 0.776746015061093 -3.62690048284815 0.208596040531214 -3.62743259079947 0.588123380869143
199508 -3.03816206788328 0.151917231567416 -2.5224130409168 0.246599384749107 -2.33140406917964 0.774346141672813 -3.62800167026143 0.208604512841536 -3.64982112164227 0.571587519890983
199509 -2.99814501062452 0.166670292480093 -2.5264539030083 0.242246703476097 -2.27620799859256 0.823874926174716 -3.59036914120676 0.230904049668959 -3.63069452168949 0.588424328020664
199510 -2.98279156040679 0.173900848172623 -2.44872702763603 0.283261719458653 -2.23490631794423 0.86195693399942 -3.51884623131078 0.25230110353473 -3.57524882335118 0.634319966643954
199511 -3.09949629854744 0.130853312259191 -2.55759742420101 0.232016641679471 -2.33326183586544 0.765611133563887 -3.61618354021458 0.202128542077878 -3.61276358225715 0.599313271718258
199512 -3.11368722833265 0.128616132190998 -2.51952830181026 0.241923487746338 -2.35112588853403 0.748095984162865 -3.5837709049384 0.215050320951317 -3.62481278800884 0.584970209423066
199601 -3.11193368394351 0.130646426561254 -2.4496305219204 0.272767442821626 -2.34903535951916 0.751579394751352 -3.56499622164919 0.225860928695766 -3.62455802997363 0.587000696702058
199602 -3.11071468969746 0.132505829396149 -2.47998550241146 0.258688572841646 -2.34898139016988 0.752624311906899 -3.56388868951321 0.228431480721143 -3.62610995837118 0.587945093301896
199603 -3.1013496495595 0.136556786476778 -2.47114432304958 0.264011209644838 -2.33539767906026 0.765379882824984 -3.56664519898453 0.22946264389277 -3.6306141685593 0.586879745044135
199604 -3.10150198770014 0.13815703299522 -2.47327908002077 0.264944604255496 -2.33422601781039 0.767703927410424 -3.57026110549601 0.230440581960061 -3.63381060018313 0.587000627234461
199605 -3.06410837644138 0.146024410632276 -2.37357690769469 0.293795481866643 -2.27773223429582 0.805249801723466 -3.50540898956375 0.260736083783437 -3.61203087284581 0.602691521641875
199606 -3.07624654117249 0.141935030336564 -2.26607523302111 0.348379814980161 -2.31309565478861 0.769119530795764 -3.49521104515624 0.267145273782508 -3.70218887733895 0.536734496819294
199607 -2.84529353938667 0.231033656143219 -1.89222508966029 0.592610344340212 -2.09498117921789 0.969105979384983 -3.45679270978732 0.296450623640587 -3.49649769200511 0.733073649368191
199608 -2.75675962157047 0.26927324668744 -1.8381490526447 0.635122181741946 -2.12322174943371 0.944367619949231 -3.31128547670667 0.335231129606212 -3.46464376151085 0.761522657025932
