"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11"
199507 -2.38734448714752 0.562740794094163 -1.51249813741108 0.522013991354436 -3.22104833949002 0.616514353769163 -3.83254629494685 0.816559273084605 -2.11438356803348 0.0352069704585431
199508 -2.38734727035279 0.564320586874649 -1.51155878092506 0.52242353881883 -3.2195318547886 0.619206922961923 -3.8339105060534 0.81540245838882 -2.12921207295418 0.0373787739621273
199509 -2.35076700236447 0.537025120982116 -1.50235667895684 0.518746722303362 -3.1678709395601 0.663363020478221 -3.75155953683393 0.901241427053651 -2.1063344228482 0.0356994488144807
199510 -2.33842419996253 0.528407836428643 -1.46864752652709 0.489952513678882 -3.1455702673425 0.685464319276423 -3.73545631552565 0.914245211913074 -2.07575722733422 0.032990437321128
199511 -2.35313873725658 0.537280661572981 -1.48754029849034 0.499452358194053 -3.16194215572123 0.67810321852032 -3.75342382871411 0.902500713119212 -2.08618909523439 0.0345795495865844
199512 -2.38377152708558 0.563665143665729 -1.49123138907497 0.505950393408265 -3.18346406622247 0.657224924800639 -3.70828070324734 0.935350437823535 -2.09815834494291 0.0374269818837416
199601 -2.38359646872712 0.565079327449738 -1.49132717650333 0.506574309245993 -3.18718045847646 0.656245555860238 -3.72026165084249 0.928308353538352 -2.10023114304254 0.0384014009065486
199602 -2.38372745228377 0.568679219863073 -1.46331971382616 0.487798497544052 -3.18179636188181 0.659000766911921 -3.69467504721652 0.946907774590449 -2.07721419100599 0.0370054458815514
199603 -2.37600792978638 0.564629540583887 -1.45840053255173 0.486451883778356 -3.16596570432068 0.673246449262597 -3.70919344694958 0.932840672772509 -2.09267793614258 0.0395108176200478
199604 -2.37636672785242 0.566525574820588 -1.45935018200143 0.488881157014926 -3.16950339478288 0.671939290626734 -3.71987523176156 0.924924221697458 -2.101159624238 0.0411582527441412
199605 -2.36360236225122 0.560770732723665 -1.44335692850135 0.480864769508323 -3.14731216754371 0.689506502413114 -3.66432336631104 0.975818158991671 -2.07998432708512 0.0399638432468261
199606 -2.37402620881422 0.573310183034428 -1.49089696130671 0.518521985528075 -3.18114569808785 0.658558744770847 -3.67941599809418 0.95412078174651 -2.17675429516702 0.0528640977232523
199607 -2.29490592022907 0.493048751971543 -1.40123989345744 0.444668884995936 -3.07635590156117 0.764628914963925 -3.56435393791654 0.925294752399541 -1.98274943714571 0.0272365585795734
199608 -2.31266209328282 0.505417104618164 -1.42425888498263 0.461345361603669 -3.09624613079857 0.750920692903437 -3.56894853891465 0.929505929611106 -1.99433810826117 0.0285670338358957
199609 -2.30101171016537 0.497238207533419 -1.39533783675101 0.44154599667042 -3.06599670517111 0.788276474017805 -3.55200845193566 0.895421343973299 -1.98621125768415 0.0284501479047731
199610 -2.36245012098018 0.548684931697966 -1.39184488603386 0.44609403043221 -3.07113909447905 0.778771531849665 -3.55652170663283 0.911213830209699 -1.8976775449101 0.022775618235885
199611 -2.33009019434884 0.523237881306265 -1.35330487044232 0.417879944847142 -3.00763511532076 0.849671768740291 -3.45882831377737 0.793644173341693 -1.87670045512205 0.0220854269814387
199612 -2.28871831835633 0.498407240464647 -1.29685493899663 0.391404865700688 -2.96158499554176 0.894119943998654 -3.40610653903248 0.746572362556006 -1.86469915709606 0.0219100055203268
199701 -2.33751551829222 0.533112147506752 -1.36939395921583 0.446876256325177 -2.99553585711831 0.872002895877986 -3.46524674245396 0.771923422140909 -1.87132524536147 0.0227945652496599
199702 -2.37044435004405 0.566903524815808 -1.41696840638377 0.494003840583137 -2.9979906085098 0.862723791795572 -3.48772323967486 0.802750999454927 -1.9132061655889 0.0269029223843304
199703 -2.34242848197215 0.537948693468059 -1.38953860565361 0.476567268919857 -2.99956862252002 0.877969090613453 -3.50163842667275 0.772601835303026 -1.91489500876707 0.0262823841152434
199704 -2.35096735626097 0.548022441935192 -1.39899495973115 0.488259197215186 -3.05515270409775 0.836392965665543 -3.63814965306852 0.861996272394548 -1.89279881371556 0.0250961536126728
199705 -2.48634323293151 0.644300730681431 -1.56808521987573 0.613485796258655 -3.19436041668395 0.726184984282847 -3.83609361786621 0.975595068072538 -2.03734149535095 0.0362497327410139
199706 -2.49132967372125 0.643858790102629 -1.57043347801225 0.615486951666413 -3.21943393980499 0.714643012997108 -3.8526611392351 0.966295761053017 -2.04628219923633 0.0378103711654448
199707 -2.64869860156751 0.762965891763617 -1.71991219778567 0.734008452676751 -3.47173908535849 0.539865949310019 -4.13112482003775 0.744682263958712 -2.12141761424929 0.0472299385490955
199708 -2.47542673155776 0.645519248791746 -1.54887367543233 0.615997601895169 -3.11047081827334 0.805214294943781 -3.5327565296903 0.762301485667148 -2.07026540313004 0.0459135038544799
199709 -2.33799286821683 0.542450576276972 -1.43404504295821 0.534008181917271 -2.96739269305226 0.924376604805399 -3.3382109917349 0.618349756787103 -1.9208259182725 0.0313139142951912
199710 -2.19001216645673 0.447224785035412 -1.26581467747793 0.424140830305368 -2.79560229942928 0.927364125869323 -3.06873265573206 0.442188024702432 -1.78704289179978 0.0229063675299224
199711 -2.18293073344347 0.445335998143502 -1.25810394361781 0.422864728366365 -2.8153701507446 0.939434857084471 -3.0395293127125 0.417440390945282 -1.77225037376507 0.0225433424028631
199712 -2.28550758719797 0.541871225840177 -1.26486755692219 0.429696556742701 -2.83459977188905 0.977309594408035 -2.95444277928847 0.402687408373758 -1.72962311487084 0.0219754425290258
199801 -2.22076969907861 0.50125010452478 -1.3799938894868 0.525226588601627 -2.81861506326475 0.964196790100239 -2.97143113782676 0.416332632924942 -1.730580846441 0.0231896960852022
199802 -2.16877693040611 0.457267761294314 -1.1826549472854 0.400330172152883 -2.90737079212824 0.977825265215415 -3.01948682447497 0.430675755099138 -1.75422303434434 0.0245576344958881
199803 -2.13862982639554 0.438262263006492 -1.18204015493197 0.400832730637181 -2.88240550752474 0.996637792578119 -2.98368531184501 0.404120885475136 -1.7207230827849 0.0225209308734522
199804 -2.1395871307933 0.441105048285921 -1.15711883234468 0.391585380958652 -2.87092418370196 0.988118194747677 -3.0071700957008 0.419212055548543 -1.72107655370679 0.023160769506718
199805 -2.20208556375676 0.477801389478084 -1.2194803266288 0.429930825270679 -2.9290839667798 0.964662556494294 -3.07113106664008 0.451928322786441 -1.73763069926651 0.0243673732862588
199806 -2.18870909551965 0.471451975160377 -1.22276838178592 0.440483210037926 -2.90321442034309 0.985303932811425 -3.01576897008262 0.414559605640649 -1.73509195829498 0.0247925026939557
199807 -2.0737269343243 0.396657284752578 -1.29954659890148 0.487087427799543 -2.82739052772765 0.950717042735673 -2.95948887794364 0.386700904403971 -1.65133243632645 0.0202142064703079
199808 -1.7952442793405 0.204167802414289 -1.82756733350571 0.79520853169583 -2.62905029634144 0.610747922139046 -2.58228846479942 0.111084253660825 -1.30373410123168 0.00402393571058918
199809 -1.85447112130297 0.225118212450999 -1.84404037987091 0.803986256978831 -2.69814661771004 0.662904067266806 -2.79459271779867 0.159261172511688 -1.7455924709264 0.0193428931913714
199810 -1.97775867097438 0.294152119189548 -2.06896538344006 0.982878706971935 -3.12314008442123 0.990098669965236 -3.40967412311939 0.476474948191236 -1.93131998189631 0.0357378432231577
199811 -1.93914147028154 0.277117108944268 -1.96520972839165 0.896236040742522 -3.00812223036455 0.895682104532996 -3.09818244077213 0.300386440231818 -1.92965808183196 0.0340186890056714
199812 -1.85851148309526 0.246177498927981 -1.91686950244641 0.857694439005144 -2.84388470751713 0.760339204308951 -2.79705870067528 0.183886348765157 -1.73763644599958 0.0199500671921808
199901 -1.89090115606048 0.264703527939676 -1.94699375437262 0.887276366182631 -2.78253036155858 0.719235579652345 -2.69674799652071 0.15274402672304 -1.85821647256392 0.0267665441289821
199902 -2.08782145718909 0.378363213690584 -2.09262361935922 0.990573634122591 -3.11796003890219 0.996487344242103 -3.49221039699021 0.620416754252049 -1.91071871981214 0.0320015419707839
199903 -2.11536062002076 0.400986577751296 -2.18019956861539 0.918770948462984 -3.21855080498814 0.914929470849862 -3.45859268663746 0.62298023324452 -1.97334526278217 0.0348024470378669
199904 -2.29008272470075 0.541402380143467 -2.44678550761754 0.696908905281523 -3.44739307889281 0.696421311604405 -3.40021664364634 0.689679388207221 -2.09229246509886 0.0468686238510192
199905 -2.45643777189972 0.713260961291759 -2.02329856759107 0.957820277332506 -3.07985465881109 0.901562496841589 -2.88224468250546 0.403310125805018 -2.26235800126859 0.0713659138736787
199906 -2.39385662299496 0.692288729698707 -2.18686122145459 0.806883936105495 -3.32533083303408 0.696399106738122 -2.97635376964784 0.444335260070799 -2.25299573778701 0.0720639873138761
199907 -2.29793693885181 0.63783875696496 -1.94043032921842 0.98171218618426 -3.13362211160011 0.838631287102969 -3.23538802206891 0.604318157133957 -2.37602657869538 0.10245439912059
199908 -2.24578327209128 0.601484494821208 -1.88366764814483 0.973565556740108 -3.03223827418675 0.920715713442111 -3.22305366863329 0.598514717554466 -2.38663051613925 0.106267606669347
199909 -2.50556257042087 0.796276864318935 -2.05795128803248 0.886005955288343 -3.04814130066053 0.859161284290226 -3.95335857601025 0.741821203410075 -2.39608013526722 0.113140864626135
199910 -2.35512388349179 0.718334222351544 -1.80189908610562 0.919933015368459 -2.75950065772612 0.911322501303849 -3.55470099776627 0.997167937697099 -2.38573487347185 0.107898560579862
199911 -1.93616455512478 0.546425713908723 -1.84734731588942 0.964390652041825 -2.55155324843481 0.858405892324724 -3.15204458289371 0.795748601617683 -2.42405795483487 0.116030290380511
199912 -0.279368095921284 0.0711100728874879 -1.3887712841935 0.798894568653795 -1.58464150876896 0.307678595880713 -2.33473491083911 0.438646180416338 -2.65451466360662 0.167568172769214
200001 -0.270554241270027 0.0722529617321322 -1.56472280092654 0.962489644192603 -1.28340470243766 0.177804244699101 -2.43349443784615 0.473776804276781 -2.42230773081638 0.137544890017284
200002 -0.849241361750219 0.270649479888519 -1.50305683256362 0.962372782265566 -0.879227060318666 0.107940902735014 -2.70252292153308 0.706994312016361 -2.30893640443743 0.100537240468413
200003 -0.898652331040717 0.347806715299325 -1.28949606819886 0.794585164031934 -0.618984196987049 0.0583894159338565 -0.0533062769968673 0.0148686017905888 -0.368980023032828 0.00628448867675067
200004 -1.26321662084736 0.626876435139138 -1.36375653745486 0.927407973733957 -0.683713209153858 0.119796905048661 -0.931684912572806 0.141718814777717 -1.20310736148221 0.0702540726878685
200005 -1.47291167213388 0.883847422663539 -1.54454945881131 0.847555916014207 -0.992742760464038 0.276489261000377 -1.47319104458048 0.439898705482564 -1.86146819630693 0.269086124462029
200006 -1.53088163650408 0.946558339926364 -1.60590736673643 0.796457026537119 -0.996169347252907 0.29695154154621 -1.00720554136944 0.248107922211534 -0.993820224940611 0.0640045979221995
200007 -1.52842957452777 0.944284589886673 -1.60144431168296 0.799601205412175 -0.973941446010373 0.287209083705163 -0.974279895816954 0.236706897293515 -1.04212282599265 0.0674189645271943
200008 -1.32951748089574 0.799058346332598 -1.36353291811049 0.973881888128186 -0.677258237346434 0.18481499052163 -0.703750118152136 0.157957189808201 -0.672904636311933 0.0301182349118028
200009 -1.29027124965961 0.773441645762617 -1.26578842701084 0.955788992019936 -0.146160715538612 0.0645812091382288 -0.542069018277624 0.125666512652744 -0.372676486655155 0.0150932472199247
200010 -1.55335131170413 0.954670624897321 -1.3262928221806 0.995668226184856 -0.216947505685638 0.0787214112661848 -0.473964898270185 0.118646911515323 -0.698025881330033 0.0320734551787556
200011 -2.79432237618218 0.265867009416336 -2.28266851369203 0.357828238769236 -1.38280169879017 0.563051555862145 -1.53864968613959 0.699065761370332 -3.25687053635531 0.92151385247131
200012 -2.3718702338773 0.388572486983427 -1.80835617499759 0.571491211549848 -1.68871564768054 0.863861887839644 -1.20569196835607 0.574667414685898 -2.90305288616717 0.931852111530794
200101 -2.28521655538709 0.423781330225072 -1.76397907118948 0.593167761522749 -1.45152923151652 0.712030324328869 -1.21894112038938 0.599149182476083 -2.63971321782799 0.902101608991828
200102 -2.04980602979443 0.56081927926767 -1.50774774906648 0.775343662652921 -0.992712901067572 0.403772477830394 -0.852468280326346 0.384919884812193 -2.08612702305806 0.465381899870778
200103 -2.14707974215385 0.506875853775582 -1.46405427543725 0.809557872552302 -1.48508870906146 0.67670400631029 -1.10650437511284 0.50331889539087 -2.74988777844729 0.854274410712755
200104 -1.83799677075613 0.692694239029514 -1.23408026180312 0.974765165485408 -0.824910412855662 0.318292280755049 -0.87442271093856 0.397916109473266 -2.06994933354838 0.443650260065735
200105 -1.84181489694426 0.691883226911085 -1.23252491888488 0.975865862403717 -0.82541621927652 0.321303386564872 -0.875703998978872 0.401321140404774 -2.0717021863552 0.447142599163582
200106 -1.79334141886807 0.725272900700522 -1.1893952908749 0.997067798018363 -0.82111921824477 0.321343784739709 -0.850337766899689 0.386885656479571 -2.06851360571032 0.447735386528068
200107 -1.96085548043465 0.613719877964708 -1.32953280359391 0.905163625122918 -0.862323672253362 0.366245458803473 -0.81945016116618 0.404473543080162 -2.85804264110709 0.946090933687834
200108 -2.38197404526264 0.384209252179603 -1.79006859204514 0.611443840996022 -1.37873657501781 0.66471793865894 -1.26179207787263 0.666093747756853 -3.56224449385285 0.584378427154223
200109 -2.97573594391998 0.198754085631617 -2.02630118668119 0.508740622618834 -1.85149545107453 0.959525809768789 -1.62376701268745 0.893805324917408 -4.55394303768057 0.202392800011349
200110 -2.63067782742119 0.310462608627709 -1.86722420965184 0.587402891401818 -1.77660772328063 0.934024560569389 -1.58435253192473 0.877448579234143 -4.12905902247445 0.34973658559998
200111 -3.13048121606778 0.149266961066124 -2.3175939243272 0.355360998226821 -2.36898796446141 0.646412112242137 -2.04425036352158 0.787824046480474 -5.10577255754927 0.0773710955751092
200112 -3.08855001834032 0.157931098401319 -2.3098392504695 0.358376186244382 -2.43973336138341 0.595350431624839 -1.98984037148151 0.814899372429714 -5.14076728726875 0.0699953877949438
200201 -3.10373971440587 0.154719785336433 -2.39310120646796 0.323892020987446 -2.4797758625851 0.571159064404503 -2.01223823110213 0.797095237486818 -5.3688500168755 0.0501368881027262
200202 -3.04014288348324 0.177105596993903 -2.32118904409073 0.354860486414796 -2.45624673416849 0.587322335982482 -1.98204242173199 0.817605233995025 -5.40100033189064 0.0505550547477141
200203 -2.61776540660132 0.310844481961037 -2.20135602543321 0.406940537471781 -2.20636799614435 0.720873258147001 -1.90116043111164 0.859592906114335 -5.05155764047676 0.0866218787275529
