-0.50855;0.24246;1.2657;-1.1755;-0.30277;0.42541
-0.54101;0.23858;1.2287;-1.2029;-0.31425;0.41389
-0.62241;0.14235;1.1273;-1.2633;-0.38521;0.36303
-0.55848;0.16355;1.1825;-1.2419;-0.35801;0.43254
-0.53216;0.19376;1.2225;-1.2411;-0.33417;0.454
-0.38263;0.20185;1.5045;-1.5012;0.12383;1.1404
-0.5483;0.37328;1.4908;-0.84533;0.0805;0.74749
-0.50927;0.39378;1.5171;-0.85096;0.090073;0.77264
-0.34177;0.55387;1.7241;-0.7155;0.21621;0.96761
-0.2176;0.65422;1.8387;-0.61425;0.29615;1.0864
-0.20617;0.68146;1.8593;-0.59268;0.33541;1.1592
-0.072876;0.8119;2.0546;-0.52028;0.43814;1.2694
-0.17617;0.72789;1.904;-0.56264;0.36613;1.1406
-0.28811;0.62026;1.7551;-0.67668;0.30879;1.0246
-0.24007;0.66775;1.8295;-0.61804;0.41484;1.1185
-0.096316;0.83463;2.025;-0.5201;0.53594;1.2369
0.0090442;0.92856;2.1678;-0.39656;0.73242;1.4739
0.27933;0.7888;1.8492;-0.62156;0.49457;1.7846
-0.072328;0.9401;2.0497;-0.45084;0.692;1.6646
-0.059452;0.93739;2.0935;-0.4332;0.71123;1.6695
0.27314;1.3175;2.4979;-0.096145;1.0526;2.1096
0.22607;1.2378;2.4544;-0.18135;1.0255;2.0136
0.30062;1.3188;2.5511;-0.10762;1.2125;2.1875
0.47247;1.5082;2.798;0.02225;1.4325;2.4398
0.4688;1.4484;2.7027;0.059638;1.4185;2.3636
0.44262;1.4351;2.7027;0.00014432;1.4053;2.3582
0.59677;1.5322;2.8621;0.11329;1.5901;2.5737
0.8122;1.7184;3.105;0.31205;1.8167;2.8001
1.0022;2.0017;3.2924;0.53975;2.1221;3.1093
1.2977;2.1804;3.3883;0.60108;2.0542;2.2468
0.7658;1.6789;2.9737;0.28166;1.454;2.336
0.29181;1.2402;2.3616;0.018024;1.0474;1.8596
0.32207;1.2979;2.4905;0.04137;1.1156;1.9098
0.50098;1.5186;2.7524;0.15616;1.3082;2.1746
0.5216;1.6158;2.9049;0.18695;1.4051;2.3531
0.61317;1.6789;3.0226;0.13039;1.3975;2.3947
0.60861;1.6734;2.9498;0.133;1.37;2.3085
0.80928;1.8876;3.1948;0.29694;1.5538;2.4975
0.72924;1.8275;3.0371;0.29519;1.4655;2.4307
0.35679;1.3947;2.5858;0.015586;1.0508;1.9807
-0.14623;0.89953;2.0628;-0.1379;0.82573;1.6362
-0.21727;0.63615;2.1402;-0.28827;0.7944;1.1423
-0.22089;0.62591;2.0634;-0.24694;0.6753;1.5183
-0.30116;0.52788;1.9827;-0.34529;0.52764;1.351
-0.2352;0.67354;2.2231;-0.24528;0.65975;1.5807
-0.14612;0.80359;2.3662;-0.17977;0.77526;1.7793
-0.18868;0.76485;2.3144;-0.26582;0.66061;1.6566
-0.2295;0.73187;2.3032;-0.28427;0.64359;1.6246
-0.40705;0.47935;1.9867;-0.38201;0.4904;1.4003
-0.39501;0.47091;1.9278;-0.35648;0.52632;1.4393
-0.44461;0.45424;1.9355;-0.35232;0.52989;1.4525
-0.48303;0.45977;1.9627;-0.33285;0.55537;1.5014
-0.41182;0.56175;2.0923;-0.26514;0.645;1.6596
-0.39603;0.70183;2.0613;-0.012235;0.021349;1.5468
-0.20811;0.77077;2.3297;-0.51351;0.54164;1.9762
-0.30721;0.69073;2.2092;-0.57115;0.5054;1.8982
-0.28173;0.70501;2.2422;-0.56443;0.51487;1.8982
-0.26547;0.72034;2.2837;-0.55665;0.54596;1.9779
-0.4368;0.58007;2.164;-0.6512;0.49631;1.8951
-0.4774;0.55905;2.1589;-0.65582;0.50264;1.9176
-0.40586;0.59892;2.19;-0.6248;0.53592;2.032
-0.35762;0.64399;2.2552;-0.61395;0.56371;2.1767
-0.30081;0.73788;2.3744;-0.5766;0.60599;2.2494
-0.35762;0.64926;2.278;-0.64934;0.5118;2.1192
-0.33707;0.63175;2.2722;-0.67501;0.4695;2.0746
-0.20754;0.5866;2.169;-0.61909;0.25704;1.6384
-0.37793;0.50626;2.28;-0.90723;0.20943;1.5722
-0.43274;0.43317;2.1353;-0.92664;0.18988;1.54
-0.47708;0.38467;2.1559;-0.96723;0.18937;1.5231
-0.55555;0.28169;2.072;-1.0323;0.11349;1.4671
-0.64785;0.18184;1.8977;-1.0541;0.062666;1.3337
-0.72442;0.10096;1.8662;-1.0789;0.0098074;1.2535
-0.83197;0.009645;1.6648;-1.1036;-0.0791;1.1407
-0.85845;-0.052049;1.616;-1.1191;-0.10404;1.0678
-0.85007;-0.080694;1.6089;-1.144;-0.10071;1.0832
-0.67758;0.059982;1.7922;-1.0728;-0.012882;1.1906
-0.72887;0.016944;1.7106;-1.1131;-0.058592;1.1261
-1.2735;0.02661;1.8736;-1.2333;0.066918;0.88149
-0.93708;0.0045195;1.6682;-1.2619;-0.13707;0.93477
-0.93708;-0.011284;1.6322;-1.2602;-0.14204;0.89098
