NaN,NaN,0.84923,0.0062305,0.39688,0.94665,1.1585,1.9573,1.7299,2.4608,-1.2303,NaN,-0.077349,0.77037,0.15488,0.73233,0.62181,1.0125,1.4582,1.9809,-0.98083,0.043609,-0.22843,1.0999,-0.037519,0.18228,0.85662,0.31822,1.2664,2.0684,-0.49579,-0.64385,-0.61346,-0.14451,0.15816,0.29168,0.32204,0.54545,0.68447,1.6352,-1.0815,-0.27248,-0.51778,-0.08157,-0.17801,0.20601,0.46594,0.66405,0.80746,1.5392,-0.78955,-0.65804,-0.50577,-0.43316,-0.22745,0.062231,0.4549,0.61433,0.59911,NaN,-1.0517,-0.63564,-0.62663,-0.08727,-0.16701,0.42985,0.010189,0.23067,0.53006,1.6407,-1.7943,-0.98666,-0.67786,-0.207,-0.16336,-0.046193,0.24261,0.26608,0.57196,0.62165,-1.4984,-1.0621,-0.38993,-0.6424,-0.30168,-0.54003,-0.11529,0.22456,0.69688,NaN,-1.44,-1.2276,-0.90628,-0.53523,-0.47633,-0.28778,-0.18612,0.089302,0.60718,NaN
NaN,NaN,0.57858,-0.17087,0.51948,0.89428,1.0362,1.8803,1.5796,2.4421,-1.3863,NaN,-0.061036,1.134,0.1677,0.64225,0.68613,1.0519,1.4791,1.9627,-0.86065,0.033326,-0.25957,1.1317,-0.13252,0.20702,0.88038,0.35012,1.1955,1.9507,-0.51737,-0.62846,-0.67164,-0.1541,0.2019,0.2694,0.25916,0.54339,0.61617,1.6154,-1.029,-0.38612,-0.56056,-0.014431,-0.21847,0.13959,0.47933,0.58554,0.75185,1.5471,-0.76716,-0.67219,-0.55251,-0.45708,-0.22943,0.034,0.44215,0.56496,0.61403,NaN,-1.033,-0.6446,-0.67758,0.079641,-0.17251,0.36613,0.013176,0.22392,0.55328,1.6884,-1.875,-0.98348,-0.85858,-0.25861,-0.14624,-0.039302,0.26085,0.27283,0.54487,0.59937,-1.4995,-1.0559,-0.41856,-0.67508,-0.31927,-0.61979,-0.14399,0.21798,0.70247,NaN,-1.4522,-1.2741,-0.95751,-0.56159,-0.5075,-0.26691,-0.18884,0.090143,0.56819,NaN
NaN,NaN,0.053425,-0.060259,0.18924,0.70013,0.89609,1.049,1.5796,2.3448,-1.593,NaN,-0.28154,1.1224,0.40383,0.40941,0.62509,0.96354,1.3316,1.8829,-0.88846,-0.05709,-0.27981,0.8957,-0.15229,0.17293,0.76684,0.2354,1.1582,1.8173,-0.34496,-0.69091,-0.73727,-0.15886,0.11951,0.13342,0.13596,0.4864,0.5572,1.6278,-1.2146,-0.42067,-0.64959,-0.14191,-0.38108,0.083858,0.32753,0.42006,0.59982,1.4579,-0.87573,-0.72739,-0.63405,-0.53405,-0.29945,0.011068,0.39224,0.47128,0.56548,NaN,-1.102,-0.68452,-0.75702,0.0039257,-0.16364,0.96164,-0.15424,0.21635,0.47166,1.6101,-2.0032,-1.0157,-0.88882,-0.30494,-0.17708,-0.033245,0.1269,0.21058,0.43145,0.5616,-1.5323,-1.0803,-0.43607,-0.73889,-0.40122,-0.72923,-0.12931,0.19813,0.59722,NaN,-1.5105,-1.3649,-1.0125,-0.5953,-0.59654,-0.38245,-0.23355,0.03325,0.55525,NaN
NaN,NaN,0.37417,-0.054394,0.27625,0.552,1.0631,1.2059,1.7713,2.3859,-1.5082,NaN,-0.23565,1.013,0.54017,0.58052,0.72172,1.001,1.4241,1.9099,-0.98377,0.13274,-0.19082,0.7843,-0.10132,0.21282,0.58721,0.30884,1.2128,1.9255,-0.34073,-0.62127,-0.69485,-0.13191,0.15255,0.2298,0.2518,0.50109,0.57478,1.7369,-1.2455,-0.33401,-0.54836,-0.18536,-0.38947,-0.033058,0.38852,0.44305,0.6685,1.6265,-0.88875,-0.6455,-0.62782,-0.42378,-0.26601,0.064403,0.39875,0.45643,0.61905,NaN,-1.0626,-0.73221,-0.67791,0.065705,-0.019168,1.1301,-0.15319,0.35229,0.57638,1.7385,-1.9419,-0.99283,-0.79504,-0.29108,-0.084966,-0.02481,0.2071,0.24022,0.49946,0.65588,-1.4538,-1.0684,-0.30351,-0.68453,-0.34056,-0.69292,-0.077111,0.27094,0.64339,NaN,-1.4901,-1.3492,-1.0183,-0.60254,-0.58117,-0.39405,-0.17594,0.12538,0.61235,NaN
NaN,NaN,0.66466,-0.048494,0.40978,0.60405,1.1889,1.392,1.9048,2.4555,-1.485,NaN,-0.15215,1.1109,0.43706,0.57701,0.7437,1.1055,1.4513,1.9699,-0.92488,0.21207,-0.11896,0.92478,-0.12481,0.26248,0.70107,0.34688,1.2912,2.0126,-0.21415,-0.59571,-0.71253,-0.12407,0.16721,0.25724,0.26565,0.5705,0.6259,1.7451,-1.1804,-0.33401,-0.53658,-0.11518,-0.37209,-0.028297,0.43397,0.46909,0.68643,1.5606,-0.76497,-0.59812,-0.59033,-0.43189,-0.22187,0.10161,0.90226,0.48222,0.62713,NaN,-0.81814,-0.64964,-0.66011,0.1179,0.0092669,1.1585,-0.10718,0.35929,0.65459,1.8792,-1.8947,-1.0043,-0.71852,-0.27718,-0.093055,0.05599,0.17334,0.24397,0.54518,0.69892,-1.4605,-1.0756,-0.2814,-0.6725,-0.33282,-0.67324,-0.066824,0.27196,0.67187,NaN,-1.4955,-1.3392,-1.0355,-0.5866,-0.55319,-0.37512,-0.14341,0.14832,0.62776,NaN
NaN,NaN,0.55817,1.9459,NaN,NaN,0.34309,-1.0385,0.9946,2.766,NaN,NaN,NaN,0.71118,1.1646,1.9954,0.47707,1.3228,0.92458,2.2178,-0.53867,1.4145,1.0378,-0.87893,0.47331,0.33479,1.0199,0.27145,1.3944,1.9821,-1.4911,-1.1615,-0.049803,-0.025281,0.35684,0.010526,-0.18168,0.71879,1.2097,2.8449,NaN,-1.4838,0.14274,0.82182,-0.26478,-0.62649,0.45877,1.1749,1.1253,1.9754,-1.4951,0.36989,-0.36437,-0.063155,-0.642,-0.088692,0.67792,0.8318,0.96967,NaN,-1.0421,-0.40867,-1.3101,-0.061126,-0.6116,-0.2512,0.40085,-0.023866,1.4381,NaN,-1.6767,-0.40589,-1.3064,-1.0315,0.1697,0.77319,0.871,-0.069743,2.047,NaN,-2.0327,-1.1855,-0.542,0.32502,-0.47249,-0.9549,-0.14026,1.5952,NaN,NaN,-1.4756,-1.9397,-1.5472,-1.0501,-0.20635,1.6954,2.6265,-0.041392,NaN,NaN
-1.2272,NaN,-0.2487,0.35667,NaN,NaN,0.66851,1.0277,1.6367,2.631,NaN,0.0038388,NaN,0.13676,0.8257,0.98036,0.83028,1.0057,1.4041,2.3994,-1.0505,-0.048374,0.21639,0.19752,0.059574,0.33804,0.52152,0.85214,1.1652,2.2133,-1.04,-0.61508,-0.36125,-0.11611,0.16166,0.30408,0.64319,0.98893,1.2311,1.6513,NaN,-0.83295,-0.16879,0.22269,0.20849,0.24608,0.54836,0.78988,1.0262,1.8517,-1.1552,-0.5902,-0.35561,-0.096149,0.28388,0.26631,0.51137,0.58209,1.3551,2.1882,-0.90222,-0.84109,-0.33783,-0.14443,-0.18895,0.28133,0.84605,0.88296,0.76284,NaN,-1.1919,-0.52703,-0.19186,-0.05382,0.074811,0.39633,0.50139,0.65389,1.2269,NaN,-1.2097,-0.75814,-0.31951,0.064219,-0.1099,0.28865,0.56794,0.66649,NaN,NaN,-1.4188,-0.76956,-0.50195,-0.15193,-0.027035,0.26512,0.60189,0.59766,NaN,NaN
-0.97345,NaN,0.011834,1.0986,NaN,NaN,0.68637,1.0277,1.6678,2.6956,NaN,0.063262,NaN,0.18624,0.95639,1.3021,0.88669,1.0436,1.4472,2.417,-1.082,-0.034387,0.18329,0.16201,0.17791,0.37835,0.51635,0.92876,1.1472,2.2176,-1.0438,-0.5825,-0.35412,-0.13759,0.16295,0.29793,0.67273,1.0296,1.3089,1.6284,NaN,-0.77594,-0.10515,0.29052,0.23186,0.26749,0.5554,0.78528,1.0534,1.8414,-1.13,-0.51223,-0.37411,-0.069494,0.33353,0.25648,0.4727,0.64909,1.3362,2.1382,-0.87044,-0.83928,-0.35424,-0.15744,-0.13795,0.29467,0.9406,0.8761,0.64871,NaN,-1.1834,-0.57897,-0.18005,-0.030577,0.10888,0.35633,0.50897,0.69497,1.2673,NaN,-1.2094,-0.74882,-0.30172,0.054462,-0.1248,0.31955,0.59485,0.83656,NaN,NaN,-1.4422,-0.76681,-0.49905,-0.12956,-0.029242,0.26751,0.65797,0.59776,NaN,NaN
-0.88036,NaN,0.29952,0.56798,NaN,NaN,0.72307,1.3642,1.959,2.8981,NaN,0.46465,NaN,0.35132,1.2017,1.6263,1.0889,1.3459,1.696,2.5702,-1.0103,0.38241,0.44798,0.35603,0.42779,0.56737,0.64255,1.0911,1.3403,2.483,-0.85712,-0.43736,-0.15425,0.018454,0.31581,0.43304,0.83058,1.2482,1.6004,1.7343,NaN,-0.63536,0.066939,0.44175,0.32542,0.40871,0.77458,0.87363,1.3439,1.9792,-0.95876,-0.39327,-0.18432,0.10923,0.56587,0.35587,0.6379,0.89894,1.5194,2.5193,-0.70512,-0.71315,-0.20891,-0.023471,0.066128,0.57653,1.0878,1.1172,0.82662,NaN,-1.0091,-0.47544,-0.034218,0.14698,0.18513,0.52621,0.58643,0.96767,1.4248,NaN,-1.0585,-0.65501,-0.14241,0.25079,0.044275,0.41996,0.78508,1.1442,NaN,NaN,-1.3021,-0.62698,-0.37723,-0.012902,0.067551,0.33914,0.7806,0.74385,NaN,NaN
-0.1372,NaN,1.2238,0.56798,NaN,NaN,0.88504,1.4695,2.0785,2.9398,NaN,0.86404,NaN,0.326,1.3733,1.5252,1.2811,1.3927,1.8288,2.6794,-0.93305,0.60662,0.5635,0.50275,0.49104,0.68593,0.82137,1.1895,1.4139,2.5506,-0.81938,-0.37903,0.028948,0.10848,0.46099,0.48789,0.92498,1.3496,1.7677,1.7792,NaN,-0.47523,0.13723,0.61427,0.44585,0.45415,0.87264,0.94758,1.58,2.1946,-0.88492,-0.099989,-0.0081906,0.2483,0.62391,0.44765,0.77757,1.078,1.6619,2.7603,-0.54819,-0.62046,-0.1401,0.043446,0.15229,0.67017,1.2825,1.1806,1.0099,NaN,-0.87706,-0.41795,0.034453,0.2664,0.25141,0.60327,0.67292,1.1398,1.5583,NaN,-0.92892,-0.53058,-0.050918,0.33763,0.17152,0.54281,0.89203,1.3087,NaN,NaN,-1.1764,-0.54058,-0.30329,0.038777,0.12609,0.47622,0.81558,0.83808,NaN,NaN
