"Ret" "Predict" "HistMean" "Year" "OOSR2" "pENCNEW"
-0.0185264198353386 0.215764688146472 0.137942640088552 198102 -7.37912835425658 2.08214946036511e-06
-0.0853569157991503 0.212447639244851 0.139014665903721 198103 -7.1433357202429 3.15545779290143e-07
-0.140894042745407 0.189699928193871 0.142723724035356 198104 -6.85568714160814 1.90163340876472e-08
-0.0875821768206085 0.195005214946803 0.145376647744034 198105 -6.66119579229316 1.50861854059214e-09
-0.129841275638237 0.23716623853506 0.147246031537666 198106 -6.47727182194155 1.53673281625072e-10
-0.141220043132224 0.196509254300918 0.148370151003082 198107 -6.03119463891386 7.47400740289192e-13
-0.15984783423904 0.162003288737991 0.148419295544288 198108 -5.81786585681143 2.68988282356417e-14
0.0118069547507198 0.174966618816344 0.147259386113239 198109 -5.79193852706867 7.69477639427893e-15
0.0907778728832822 0.132541941111094 0.144845372548209 198110 -5.73015553630924 3.372998118414e-15
0.143629360929181 0.199332069838902 0.143057020070635 198111 -5.74169557280988 4.48966175615077e-15
0.151925789577653 0.22026621793739 0.14052735909505 198112 -5.71510770245964 5.14626888628606e-15
0.192245703746276 0.175638334224571 0.138127726755183 198201 -5.67625903277922 7.11902999227022e-15
0.258953610531678 0.137249199118185 0.136010778828284 198202 -5.7004257852594 1.2843455886393e-14
0.341211086923656 0.112168399744345 0.133059209566585 198203 -5.71042187514019 1.42989535696039e-14
0.384069146696591 0.139508748345302 0.129454561509848 198204 -5.65305048654414 4.95215513574085e-15
0.412213416242477 0.125752988367755 0.126635902570492 198205 -5.72828311951563 7.67101278831618e-15
0.453978614719151 0.145510567577276 0.123347733619098 198206 -5.76463857191472 5.7201011816972e-15
0.512226316204678 0.0986462907166754 0.119998774419714 198207 -5.94493239221778 2.18021367475055e-14
0.499991546820214 0.106203549511295 0.116500691811479 198208 -5.87295126172276 1.67922544137301e-15
0.390152743337692 0.143799635196681 0.115208176539124 198209 -5.87868237181823 3.52220211680495e-16
0.388973266102468 0.171541951595972 0.114910246006736 198210 -6.05498047208872 1.9200827465701e-15
0.24946153819816 0.147051960802352 0.115256259439537 198211 -6.35206834371249 6.2236494138309e-14
0.226016959405 0.0332907180903997 0.11569280146499 198212 -6.43171867765997 1.76103497754597e-13
0.203335265667643 0.118383462356133 0.11659342384477 198301 -6.20918028095507 2.21459232741486e-14
0.149662166654931 0.0800671114575336 0.118248774852757 198302 -6.21631079897962 2.55552159754342e-14
0.0760981202426788 0.0653545373397179 0.120811560048975 198303 -6.18136670491209 2.19443100340277e-14
0.0556882520640105 0.163141158278287 0.123803123533607 198304 -6.19985297602945 4.41798126885308e-14
-0.0126197038302962 0.0808011202070236 0.127043688620223 198305 -6.13887514662763 2.64171612030102e-14
-0.0779423811012382 0.0869213709095726 0.130676298910211 198306 -6.24940450344282 1.23003509322778e-13
-0.0892846577051728 0.133921404325345 0.134869156243118 198307 -6.42603972198934 9.07470862912090e-13
-0.0748043019937856 0.00730649364943631 0.138837877879825 198308 -6.46004648936207 8.74894691665903e-13
0.0279495877667745 0.125766651765782 0.141540188261092 198309 -6.85132329815286 3.02913267816015e-10
0.0118889669456348 0.0104116562171773 0.144172455046639 198310 -6.89081393743831 4.59320747553412e-10
0.0406533563821015 -0.00526957122773242 0.145280761185076 198311 -7.06617474356712 1.34471772769568e-08
0.00210128994393112 0.0799426744824854 0.146121763249867 198312 -7.15638770696188 2.16832393441064e-07
0.0371542754838351 0.0449922644232429 0.1467115931717 198401 -7.30842597975716 1.0630007660632e-06
0.131691558173812 0.0492365954819445 0.146741701064386 198402 -7.42911132757271 6.13264950841131e-06
0.191499961124644 0.103745032944326 0.146028129540934 198403 -7.36739095262242 7.93262836303363e-06
0.175789187544652 0.0320615678990239 0.145124730766165 198404 -7.31577778959165 6.25026235412136e-06
0.170490499816316 0.117320910627182 0.143562904681051 198405 -7.1307330813458 3.82035388860055e-06
0.279693428812836 0.176282108035436 0.141391284232205 198406 -7.11142346592786 3.62827121653929e-06
0.272354484967706 0.16344649039063 0.139151711980386 198407 -7.20383185875852 7.63851694411616e-06
0.290540478191377 0.0583279992975081 0.13709444261525 198408 -7.27150437238737 1.25368300082507e-05
0.180478882853432 0.115791863246932 0.136054967807169 198409 -6.99998310093475 2.0479465997799e-06
0.139681873030052 0.145036230700424 0.134883590440551 198410 -6.98034544935557 1.88629621969712e-06
0.183725509545056 0.0601403791235292 0.134002934047481 198411 -6.98030718822416 2.0235523116272e-06
0.26257833804924 0.0770803093155276 0.132781622528004 198412 -6.86063702837654 1.19580787919831e-06
0.282384792005376 0.071482678443998 0.131904307417507 198501 -6.70491556265782 3.83516914815034e-07
0.2115426943958 0.0315362338459702 0.131902373333474 198502 -6.51166214003958 8.4453853527935e-08
0.267510703412189 0.174448020123721 0.132439288538799 198503 -6.26756595092928 2.16969789682114e-08
0.323064302464384 0.144703018506092 0.132826341208495 198504 -6.36984009295827 6.05520402630013e-08
0.317535816754414 0.130716153334854 0.133159652346617 198505 -6.43377777288507 8.81631715843511e-08
0.311465419663289 0.109511037153373 0.134445036350706 198506 -6.44606488106134 8.1037198678013e-08
0.308810159215493 0.11138463644605 0.135644248947376 198507 -6.37453924767379 3.75922586971219e-08
0.248879879787781 0.0614187520232467 0.136979561268445 198508 -6.30619065405122 1.78782488392327e-08
0.316847409152915 0.161839889048124 0.137351350341821 198509 -6.09515810031607 3.9680637596275e-09
0.272031224577371 0.0381074480701882 0.137371100534094 198510 -6.19363535129016 8.87080504590703e-09
