
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
198007  10.26   5.50   8.64  10.61   9.73   5.62   6.93   9.01  10.63 -99.99
198008   4.77  19.32   4.20  -0.06   5.90  -2.30  14.31   4.67   7.49 -99.99
198009  -1.64  -8.29  -1.17  -4.75  -1.96  -3.36  -2.84  -4.11  -0.56 -99.99
198010  22.98  26.90  19.55  23.92  23.04  19.30  23.60  24.88  20.97 -99.99
198011  -4.00   0.91  -4.62  -0.95  -3.52   3.75  -3.70   4.33  -5.12 -99.99
198012   2.98   3.05   2.14  13.35   1.86  -5.23  -1.67   7.25   0.58 -99.99
198101   5.10  11.86   5.50   4.31   4.93   0.59   5.30  12.28   4.42 -99.99
198102  -6.16  -6.73  -5.23  -3.75  -4.89  -5.69  -7.17  -3.60  -5.89 -99.99
198103  -6.41  -4.98  -5.63  -4.94  -5.28  -3.94  -8.74  -8.01  -5.20 -99.99
198104   3.42  10.68  -1.38   0.17   1.73  -3.67   7.34   8.26   2.06 -99.99
198105  14.93  16.80  11.12   3.11  13.89   4.84  19.00  18.20  14.96 -99.99
198106   3.10   9.89   3.76   8.66   1.49   8.52   0.38   3.81   0.96 -99.99
198107  -5.45 -14.42  -2.32  -7.23  -3.69  -7.44  -4.16 -10.88  -2.85 -99.99
198108  -5.72  -9.85  -4.00  -3.80  -4.64  -4.81  -4.16  -6.48  -4.76 -99.99
198109 -26.01 -29.68 -25.31 -15.72 -24.38 -17.36 -28.60 -26.18 -25.12 -99.99
198110   5.04   2.35   4.95   1.83   4.58   2.32   4.84   6.29   6.21 -99.99
198111  16.65  15.60  13.76  18.99  16.13  21.58  19.26  22.15  16.63 -99.99
198112  -2.96  -0.79  -3.06  11.18  -4.66  16.11  -6.65   2.95  -5.20 -99.99
198201  -1.32  -2.47  -2.22  -4.62  -0.68  -0.73  -1.90  -3.40  -0.45 -99.99
198202 -11.48 -11.23 -11.37 -14.94 -10.29 -11.38 -14.70 -13.93 -11.87 -99.99
198203  -6.51  -1.94  -7.83  -4.54  -6.53  -0.49 -10.35  -3.87  -8.13 -99.99
198204  15.67  19.73  11.58  20.61  13.01  16.30  21.21  18.07  15.13 -99.99
198205   8.79   6.51   6.81   4.79   7.99   6.59  12.66   4.63   7.88 -99.99
198206 -11.43 -13.34 -10.05 -12.71 -11.07 -10.84 -14.53 -11.95 -11.58 -99.99
198207  -7.35  -0.26 -11.17  -1.92  -7.98  -4.88  -6.11  -1.66 -10.58 -99.99
198208 -13.92  -7.90 -17.70 -13.08 -14.97  -7.76 -15.75 -11.40 -17.60 -99.99
198209 -13.07 -14.00 -14.80 -12.69 -13.47 -11.03 -14.52 -11.75 -15.84 -99.99
198210 -23.48 -26.41 -28.52 -26.74 -23.34 -20.96 -23.99 -24.04 -27.76 -99.99
198211  -5.30   0.45  -7.62   2.47  -8.12  -1.54 -11.78   1.65  -3.12 -99.99
198212  15.80  21.18  14.24  20.72  14.41  17.66  20.58  18.62  15.23 -99.99
198301  13.43   9.93  15.00  17.67  18.75  10.78   9.33  15.14  19.83 -99.99
198302  14.78  14.58  15.03  17.89  16.08  22.27  12.46  15.06  16.62 -99.99
198303  -3.75 -10.00  -1.84  -5.86  -2.06  -7.13  -2.56  -5.81  -0.93 -99.99
198304  -0.34   0.26  -2.59   0.67   1.13  -0.66   2.49  -4.61   0.25 -99.99
198305 -12.76 -16.83  -9.29 -19.83 -11.43 -16.35 -10.00 -16.66 -12.12 -99.99
198306   5.50   5.21   2.84  10.53   5.46   5.49   4.79   7.73   6.29 -99.99
198307   9.96  11.35  15.00  10.84  12.40  10.02  11.90   8.77  13.27 -99.99
198308 -13.42 -17.30 -11.36 -18.52 -12.08 -14.51 -10.06 -14.26 -12.96 -99.99
198309 -26.34 -31.15 -27.81 -25.76 -29.11 -22.66 -26.07 -20.83 -30.03 -99.99
198310  20.05  19.20  21.76  17.90  21.50  16.84  22.10   7.63  25.25 -99.99
198311  -1.62  -3.71  -2.15  -4.07  -0.89  -1.94  -1.75  -1.38   0.67 -99.99
198312   3.68   6.26   3.04   6.26   2.99   4.52   3.02   4.10   3.55 -99.99
198401  26.65  37.02  20.62  27.10  29.85  29.36  35.07  35.05  20.81  45.60
198402  -3.50  -7.62  -0.24   0.10  -5.09  -3.83  -9.49  -3.30  -2.64 -14.03
198403  -2.76  -8.91  -1.38  -0.92  -4.42  -1.34  -7.97   0.43  -1.33 -14.37
198404   2.58   2.76   3.35   0.75   4.22  -0.30   1.70   8.06   2.59   4.67
198405 -11.81  -9.77 -10.11 -10.13 -10.67  -7.35 -10.88 -10.00 -13.55 -11.30
198406  -1.62  -3.78  -0.70  -2.01  -3.02  -2.80  -5.59  -2.15  -2.01  -4.67
198407 -11.94 -12.16 -13.65  -8.99 -15.07 -12.82 -15.26 -12.78 -13.24 -17.57
198408  17.23  16.79  16.25  17.93  18.11  25.00  19.03  20.77  17.49  23.86
198409   8.57  10.92   7.90   8.41   9.56   7.78  10.27   8.94   8.46  12.04
198410   0.61  -7.49   5.12  -4.26   1.12   0.92   2.56   3.93   4.78  -1.53
198411  11.75  13.74  10.20  12.57  13.18   9.50  13.16  11.67  11.54  15.26
198412   6.61   6.39   3.03   7.15   6.88   4.87   6.99   3.46   5.55   2.25
198501  14.60  15.09  15.55  11.22  13.07  10.20  17.20  15.13  14.49  11.35
198502   0.76  11.86  -0.17   1.69   3.12   5.85   3.05   1.25   2.61   3.10
198503   0.36  -0.97   3.12  -0.69   2.10  -3.60  -0.20  -0.92   2.37  -3.42
198504   9.65  17.15   8.78  10.44  13.50   4.08  15.73  10.40  12.09  18.12
198505   6.73   3.00  11.70   5.05   8.01  -1.93   4.55   8.94  11.28  58.69
198506  -2.12  -3.03  -2.07   0.39  -3.66   2.76  -2.88  -1.41  -4.15 -13.53
198507   6.95  10.12   5.93   6.07   8.94   5.18   8.82   4.94   8.18   5.75
198508  -1.74  -0.02  -3.13   3.18  -3.27   0.21   0.65  -1.75  -5.31 -12.92
198509  -7.51  -6.38  -8.11  -9.59  -6.89  -8.05  -6.31  -6.25  -6.49   2.72
198510  10.00  10.86   8.41  10.77  10.30  14.09  10.03   8.49   9.97  -2.64
198511   3.11  -0.45   4.51   2.84   2.87   7.20  -0.33   0.68   4.29 -22.39
198512   2.13   4.74   1.57   4.71   1.91   5.42   3.22   1.96   1.87   1.46
198601  -2.53  -3.03   0.29   0.66  -4.48  -2.02  -3.02   1.15  -2.18 -10.49
198602   0.61   0.41  -0.68   2.75  -1.28   8.32  -0.57   1.03  -0.79   1.01
198603  -3.66  -3.62  -5.92  -0.28  -5.95   3.91  -5.21  -1.18  -5.36  -5.27
198604  13.22  11.69  14.43  14.36  12.47  15.98  11.38  11.56  10.89  15.61
198605  -2.74  -4.08   0.64  -4.60   0.25  -4.29   1.09  -2.44   1.60  -7.58
198606  -2.18  -2.54  -1.42  -3.19  -2.19  -3.68  -2.70  -1.60  -3.04  -0.72
198607   6.10   0.35   6.57   5.63   7.39  11.41   6.20   3.49   5.25  20.00
198608   3.78   4.28   1.73   1.97   4.28   2.23   3.23   3.62   2.61   7.42
198609   8.34   7.21   5.36   8.20   8.57   5.88   7.24   6.07   8.03   5.17
198610  12.34  10.77  12.80  13.58  13.97  15.10  16.55   6.70  16.61  17.16
198611   4.04   2.06   2.47   2.56   3.82   3.31   0.57   4.67   0.80   0.44
198612   7.04   9.09   4.99   8.21   5.08  11.26   5.95  11.70   6.20   1.89
198701   0.54   5.29  -0.48   0.72  -2.11  -2.71  -2.21   2.76  -3.16  -3.50
198702  12.76  11.20   9.93  15.45  12.08  17.14  12.15  15.30   8.39  10.66
198703  -4.53  -7.09  -1.82  -7.32  -3.77  -8.64  -3.87  -8.56  -7.74  -9.05
198704  -1.82  -2.35  -3.36  -2.03  -1.45  -2.29  -1.01  -1.28  -1.06   0.92
198705  10.85   9.52   7.94   7.50  13.48   7.73  13.09   7.49  10.57  15.66
198706   9.05   9.57  10.18   7.78   8.97   2.65   8.40   7.76   9.73  -0.81
198707   9.95  11.19   9.35  10.76   7.88  11.55   7.19   9.96   8.32  29.90
198708   4.47   4.01   4.99   4.49   5.48   5.62   3.91   6.87   4.20  20.42
198709  10.59  10.71  12.87   7.72  11.73  12.25  11.24   7.98  14.41 116.40
198710 -43.22 -37.05 -42.91 -37.43 -45.27 -35.88 -44.26 -37.48 -42.30 -58.58
198711  -3.11  -2.31  -3.28  -4.07  -4.64  -3.04  -6.71  -5.69  -4.43   6.50
198712   8.51   6.34  12.20   8.90   6.30  12.05   7.20   7.47   8.78  45.29
198801   2.94   1.35   4.55   2.83   1.58   4.42   0.28   0.10   1.75   2.50
198802   1.43   1.28  -1.76   3.69  -0.66   3.50   0.03   1.26   0.00  -0.16
198803   6.30   4.32   6.14   6.94   5.58  10.61   4.60   3.36   6.11   4.35
198804   3.00   2.74   1.68   3.86   3.61   6.97   5.05   3.68   1.52   2.17
198805  -3.35  -5.90  -2.30  -1.49  -4.98   0.75  -5.29  -2.61  -2.45  -5.19
198806   7.76   6.08   7.94   8.84   6.86  11.52   5.88   5.10  10.32   7.49
198807   1.38   1.35   0.35   0.24   2.09   0.95   0.74  -0.01  -0.74   2.32
198808  -8.20  -5.66  -9.42  -8.35  -8.72  -9.28  -8.90  -5.98  -9.14  -5.75
198809   0.25   0.34   0.63   0.83  -0.62   3.21  -0.03  -2.44   1.72  -2.27
198810   7.61   9.84   7.42   8.51   6.85   9.49   7.57   9.51   8.23   5.37
198811   1.88   1.02  -0.90   3.91   0.12   3.70  -0.16   0.35   1.78   3.14
198812   1.64   2.35  -0.15   2.17   0.43   0.18   0.79   0.21   0.18   2.75
198901  14.71  17.73  10.76  14.03  14.01  13.65  16.89  14.13  12.78   2.40
198902  -1.28   0.82  -3.06  -0.05  -2.64  -1.14  -2.78  -1.14   0.73 -15.60
198903   1.04   1.27  -0.03   2.84   1.95   3.30   2.09   2.80   2.66   6.02
198904   3.78   1.89   3.05  -0.46   3.75   6.24   5.96   0.76   3.12   0.43
198905 -11.76 -10.52  -9.47 -10.63 -10.55 -10.24 -10.63 -12.23 -10.27  -5.32
